Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (10000 already done, 40000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5 (0 done, 10000 remaining) ---
[10001/50000] 2026-06-26 08:32:49 | R2 | InfixConverter/0_orig vs InfixConverter/0_orig → CLONE
[10002/50000] 2026-06-26 08:32:50 | R2 | InfixConverter/0_orig vs InfixConverter/1_artifice → CLONE
[10003/50000] 2026-06-26 08:32:52 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_krakatau → CLONE
[10004/50000] 2026-06-26 08:32:52 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_procyon → CLONE
[10005/50000] 2026-06-26 08:32:54 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[10006/50000] 2026-06-26 08:32:54 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_procyon → CLONE
[10007/50000] 2026-06-26 08:32:56 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[10008/50000] 2026-06-26 08:32:57 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_procyon → CLONE
[10009/50000] 2026-06-26 08:32:58 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[10010/50000] 2026-06-26 08:32:59 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[10011/50000] 2026-06-26 08:33:00 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[10012/50000] 2026-06-26 08:33:02 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[10013/50000] 2026-06-26 08:33:03 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[10014/50000] 2026-06-26 08:33:04 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[10015/50000] 2026-06-26 08:33:05 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[10016/50000] 2026-06-26 08:33:07 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[10017/50000] 2026-06-26 08:33:08 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[10018/50000] 2026-06-26 08:33:09 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[10019/50000] 2026-06-26 08:33:11 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[10020/50000] 2026-06-26 08:33:12 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[10021/50000] 2026-06-26 08:33:13 | R2 | InfixConverter/0_orig vs bubblesort/0_orig → NON-CLONE
[10022/50000] 2026-06-26 08:33:14 | R2 | InfixConverter/0_orig vs bubblesort/1_artifice → NON-CLONE
[10023/50000] 2026-06-26 08:33:15 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[10024/50000] 2026-06-26 08:33:16 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[10025/50000] 2026-06-26 08:33:17 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[10026/50000] 2026-06-26 08:33:18 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[10027/50000] 2026-06-26 08:33:19 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[10028/50000] 2026-06-26 08:33:21 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[10029/50000] 2026-06-26 08:33:21 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[10030/50000] 2026-06-26 08:33:22 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[10031/50000] 2026-06-26 08:33:23 | R2 | InfixConverter/0_orig vs guessword/0_orig → NON-CLONE
[10032/50000] 2026-06-26 08:33:24 | R2 | InfixConverter/0_orig vs guessword/1_artifice → NON-CLONE
[10033/50000] 2026-06-26 08:33:26 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_no_krakatau → NON-CLONE
[10034/50000] 2026-06-26 08:33:27 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_no_procyon → NON-CLONE
[10035/50000] 2026-06-26 08:33:28 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[10036/50000] 2026-06-26 08:33:29 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_pg_procyon → NON-CLONE
[10037/50000] 2026-06-26 08:33:31 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[10038/50000] 2026-06-26 08:33:31 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_no_procyon → NON-CLONE
[10039/50000] 2026-06-26 08:33:33 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[10040/50000] 2026-06-26 08:33:34 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[10041/50000] 2026-06-26 08:33:35 | R2 | InfixConverter/0_orig vs hanoi/0_orig → NON-CLONE
[10042/50000] 2026-06-26 08:33:36 | R2 | InfixConverter/0_orig vs hanoi/1_artifice → NON-CLONE
[10043/50000] 2026-06-26 08:33:37 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[10044/50000] 2026-06-26 08:33:38 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_no_procyon → NON-CLONE
[10045/50000] 2026-06-26 08:33:39 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[10046/50000] 2026-06-26 08:33:40 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[10047/50000] 2026-06-26 08:33:42 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[10048/50000] 2026-06-26 08:33:43 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[10049/50000] 2026-06-26 08:33:44 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[10050/50000] 2026-06-26 08:33:45 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[10051/50000] 2026-06-26 08:33:46 | R2 | InfixConverter/0_orig vs kaprekar/0_orig → NON-CLONE
[10052/50000] 2026-06-26 08:33:47 | R2 | InfixConverter/0_orig vs kaprekar/1_artifice → NON-CLONE
[10053/50000] 2026-06-26 08:33:48 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[10054/50000] 2026-06-26 08:33:49 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[10055/50000] 2026-06-26 08:33:50 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[10056/50000] 2026-06-26 08:33:51 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[10057/50000] 2026-06-26 08:33:52 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[10058/50000] 2026-06-26 08:33:54 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[10059/50000] 2026-06-26 08:33:55 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[10060/50000] 2026-06-26 08:33:56 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[10061/50000] 2026-06-26 08:33:57 | R2 | InfixConverter/0_orig vs queens/0_orig → NON-CLONE
[10062/50000] 2026-06-26 08:33:58 | R2 | InfixConverter/0_orig vs queens/1_artifice → NON-CLONE
[10063/50000] 2026-06-26 08:33:59 | R2 | InfixConverter/0_orig vs queens/test_0_orig_no_krakatau → NON-CLONE
[10064/50000] 2026-06-26 08:34:01 | R2 | InfixConverter/0_orig vs queens/test_0_orig_no_procyon → NON-CLONE
[10065/50000] 2026-06-26 08:34:02 | R2 | InfixConverter/0_orig vs queens/test_0_orig_pg_krakatau → NON-CLONE
[10066/50000] 2026-06-26 08:34:03 | R2 | InfixConverter/0_orig vs queens/test_0_orig_pg_procyon → NON-CLONE
[10067/50000] 2026-06-26 08:34:05 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_no_krakatau → NON-CLONE
[10068/50000] 2026-06-26 08:34:06 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_no_procyon → NON-CLONE
[10069/50000] 2026-06-26 08:34:07 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[10070/50000] 2026-06-26 08:34:09 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_pg_procyon → NON-CLONE
[10071/50000] 2026-06-26 08:34:10 | R2 | InfixConverter/0_orig vs railroadcar/0_orig → NON-CLONE
[10072/50000] 2026-06-26 08:34:10 | R2 | InfixConverter/0_orig vs railroadcar/1_artifice → NON-CLONE
[10073/50000] 2026-06-26 08:34:11 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[10074/50000] 2026-06-26 08:34:12 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[10075/50000] 2026-06-26 08:34:13 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[10076/50000] 2026-06-26 08:34:14 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[10077/50000] 2026-06-26 08:34:15 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[10078/50000] 2026-06-26 08:34:16 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[10079/50000] 2026-06-26 08:34:17 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[10080/50000] 2026-06-26 08:34:18 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[10081/50000] 2026-06-26 08:34:19 | R2 | InfixConverter/0_orig vs slinkedlist/0_orig → NON-CLONE
[10082/50000] 2026-06-26 08:34:20 | R2 | InfixConverter/0_orig vs slinkedlist/1_artifice → NON-CLONE
[10083/50000] 2026-06-26 08:34:21 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[10084/50000] 2026-06-26 08:34:22 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[10085/50000] 2026-06-26 08:34:23 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[10086/50000] 2026-06-26 08:34:24 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[10087/50000] 2026-06-26 08:34:25 | R2 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
