program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,103399,2013_0_1,99825,CLONE,2026-07-27 00:00:44,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic for determining the winner of a Tic-Tac-Toe game on a 4x4 board. They both read input data representing game boards, check for winning conditions (rows, columns, and diagonals) for players 'X' and 'O', handle the case where the game is not completed, and output the appropriate result. The core algorithm for detecting wins and handling the 'T' (wildcard) character is fundamentally the same in both implementations, even though they use different data structures and programming languages (Java",0
2013_0_1,99825,2013_0_1,125888,CLONE,2026-07-27 00:00:45,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic to determine the winner of a Tic-Tac-Toe-Tomek game. They both read a game board of 4x4 size, check rows, columns, and diagonals for winning conditions (where all symbols in a line are the same, excluding 'T' which can represent any player), and handle game states like 'X won', 'O won', 'Draw', and 'Game has not completed'. The core algorithm and game logic are identical in both implementations, even though the implementation details differ (C",1
2013_0_1,125888,2013_0_1,84842,CLONE,2026-07-27 00:00:45,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same Tic-Tac-Toe-Tomek game state analysis logic. They both: 1) Read a 4x4 game board from input, 2) Check for winning conditions for players 'X' and 'O' (with 'T' acting as a wildcard), 3) Determine if the game is ongoing (contains empty cells), 4) Determine if the game is a draw (no winner and no empty cells), 5) Output the appropriate result in the same format. The Python version uses",2
2013_0_1,84842,2013_0_1,103399,CLONE,2026-07-27 00:00:46,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe game analysis problem. They both read a board configuration, check for wins by X or O (including rows, columns, and diagonals), and determine the game status (X won, O won, draw, or not completed). The PHP version uses regex patterns to match winning conditions, while the Java version explicitly checks all possible winning combinations through string comparisons. Both handle the same input format and produce identical output for the same input. The core algorithm and logic are fundamentally the same",3
2013_0_1,49244,2013_0_1,98087,CLONE,2026-07-27 00:00:48,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic for determining the winner of a Tic-Tac-Toe game on a 4x4 board. They both read a 4x4 board configuration, where each cell can contain 'X', 'O', 'T' (representing a wildcard), or '.' (empty). The core functionality includes checking rows, columns, and diagonals for winning conditions, handling the special case of 'T' which can represent either 'X' or 'O', and determining if the game is incomplete (has empty cells), a",4
2013_0_1,98087,2013_0_1,91336,CLONE,2026-07-27 00:00:49,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both check for wins horizontally, vertically, and diagonally for both players 'X' and 'O', treating 'T' as a wildcard that can represent either player. They also handle the game states: 'X won', 'O won', 'Game has not completed' (when there are empty cells), and 'Draw' (when no player has won and no empty cells remain). The core algorithm",5
2013_0_1,91336,2013_0_1,102913,CLONE,2026-07-27 00:00:50,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both check for wins in rows, columns, and diagonals, treating 'T' as a wildcard that can represent either 'X' or 'O'. They handle the same game states: 'X won', 'O won', 'Game has not completed' (when there are empty cells), and 'Draw'. The core algorithm for checking win conditions is fundamentally the same in both implementations, though the syntax",6
2013_0_1,102913,2013_0_1,49244,CLONE,2026-07-27 00:00:51,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like game on a 4x4 board. They both read input from files, parse a 4x4 board configuration, check rows, columns, and diagonals for winning conditions, and output the result in the same format (Case #X: X won, O won, Draw, or Game has not completed). The core algorithm for determining winners and handling the 'T' wildcard token is identical in both implementations, even though the syntax and structure differ between PHP and",7
2013_0_1,126886,2013_0_1,72071,CLONE,2026-07-27 00:00:52,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving the Tic-Tac-Toe Tomek problem. They both read a board of 4x4 characters, check for winning conditions in rows, columns, and diagonals (where 'T' acts as a wildcard), and determine if X wins, O wins, the game is a draw, or not completed. The core algorithm and logic flow are identical, even though the implementation details differ between Java and C++ (e.g., file I/O vs stdin, different variable names, different loop structures,",8
2013_0_1,72071,2013_0_1,70537,CLONE,2026-07-27 00:00:53,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic for determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both check rows, columns, and diagonals for winning conditions ('X' or 'O' completing a line), handle the case where the game is not yet finished (empty squares), and detect draws. The core algorithm is identical: scan all lines (rows, columns, diagonals) for a complete line of 'X' or 'O' (with 'T' as a wildcard), and determine the",9
2013_0_1,70537,2013_0_1,127485,CLONE,2026-07-27 00:00:54,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the state of a Tic-Tac-Toe game board. They both check for wins by rows, columns, and diagonals, handle the 'T' (tie) character as a wildcard, and determine if the game is a draw or not completed. The core algorithm is identical: count X's and O's in each line, with T counting as either, and determine the winner based on whether any line has all X's or O's (with T's). The only differences are in syntax,",10
2013_0_1,127485,2013_0_1,126886,CLONE,2026-07-27 00:00:55,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like problem (likely from Google Code Jam's 'Tic-Tac-Toe-Tomek' problem). They both read a board configuration, check for wins by rows, columns, and diagonals (considering 'T' as a wildcard), and determine if X wins, O wins, the game is not completed, or it's a draw. The core algorithm and logic flow are identical, though the implementation details differ due to language-specific syntax and structures (PHP vs",11
2013_0_2,95524,2013_0_2,83774,CLONE,2026-07-27 00:00:56,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid can be reduced to all zeros by repeatedly removing rows or columns with the minimum value in that row/column. The core logic in both is identical - for each cell (i,j), they check if the value at that cell is the minimum in its row or column. If not, the configuration is invalid. The first snippet (Java) uses a more verbose approach with multiple nested loops and boolean flags, while the second (C++) uses a more concise approach with clear row",12
2013_0_2,83774,2013_0_2,78034,CLONE,2026-07-27 00:00:56,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid (lawn) can be achieved by cutting grass such that each cell's height is at most the maximum height in its row and column. The logic is identical: for each cell, check if it's less than both its row maximum and column maximum. If such a cell exists, the answer is 'NO', otherwise 'YES'. The C++ version uses nested loops with boolean flags, while the Python version uses a more direct approach with exception handling, but both implement",13
2013_0_2,78034,2013_0_2,71957,CLONE,2026-07-27 00:00:57,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining if a lawn (represented as a 2D grid) can be mowed such that each cell's height is achievable by taking the minimum of its row maximum and column maximum. Both calculate row and column maximums, then check if any cell value is strictly less than both its row and column maximum. If such a cell exists, the result is 'NO', otherwise 'YES'. The core logic and algorithm are identical, though implemented in different languages (Python vs PHP) with different syntax and structure.""
",14
2013_0_2,71957,2013_0_2,95524,CLONE,2026-07-27 00:00:58,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be the same problem (determining if a grid can be reduced to a valid state by removing elements). The PHP code calculates maximum values per row and column, then checks if any element is smaller than both its row and column maximums. The Java code uses a completely different approach involving checking horizontal and vertical constraints with boolean flags and nested loops. The core logic and algorithmic approaches are fundamentally different, making the snippets not functionally similar.""
}",15
2013_0_2,44471,2013_0_2,140779,CLONE,2026-07-27 00:00:59,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid can be transformed into a pattern where each cell's value is the maximum in its row and column. In the Java code, the algorithm checks if for each cell, it's possible to maintain the pattern by ensuring that either its row or column (or both) consists entirely of the minimum value. The C++ code uses a different but equivalent approach: for each cell, it calculates the maximum value in its row and column, and if both are greater than the cell's",16
2013_0_2,140779,2013_0_2,122219,CLONE,2026-07-27 00:01:00,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same algorithm to determine if a grid can be reduced to a valid state where each cell's value is at least as large as the maximum value in its row and column. The core logic is identical: for each cell, check if it's smaller than both the maximum value in its row and the maximum value in its column. If such a cell exists, the answer is 'NO', otherwise 'YES'. The C++ version uses nested loops with max() function calls, while the Python version uses similar logic with list comprehensions",17
2013_0_2,122219,2013_0_2,96711,CLONE,2026-07-27 00:01:00,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets are not functionally similar. While both appear to solve a lawn mowing problem where each cell must be at least as high as its row and column neighbors, the logic is fundamentally different. In Code Snippet 1 (Python), a cell is valid if it's less than both the maximum value in its row AND the maximum value in its column. However, Code Snippet 2 (PHP) has incorrect logic - it checks if any cell in the column is greater than the current cell, and if so,",18
2013_0_2,96711,2013_0_2,44471,CLONE,2026-07-27 00:01:01,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be the same problem (possibly the 'Lawnmower' problem from Google Code Jam). Code Snippet 1 uses a brute-force approach checking for each cell whether it can be reduced to the minimum value by checking row and column constraints. Code Snippet 2 uses a different approach by checking if each cell equals the minimum value and then verifying if the row or column containing that minimum value can support the pattern. The core logic and algorithmic approaches are fundamentally different, making",19
