program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,84294,2013_0_1,58633,CLONE,2026-07-11 14:55:08,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic for determining the winner of a Tic-Tac-Toe game on a 4x4 grid. They both read multiple test cases, process 4x4 game boards represented by characters ('X', 'O', 'T', '.') to determine win conditions, and output results indicating whether X wins, O wins, the game is a draw, or not completed. While they use different approaches (one uses boolean flags and array checks, the other uses multiplication of numeric codes), they both solve the same problem and produce equivalent outputs for the same inputs.""
}",0
2013_0_1,84294,2013_0_1,124149,CLONE,2026-07-11 14:55:10,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe game on a 4x4 grid. They both: 1) Read multiple test cases, 2) Process a 4x4 grid of characters ('X', 'O', 'T', '.'). 3) Handle 'T' as a wildcard that counts for both players, 4) Check rows, columns, and diagonals for winning conditions, 5) Determine win/loss/draw status based on whether any player has four consecutive marks in a line, 6) Handle incomplete games where there are still empty spaces. The core algorithmic approach and final output format are identical, though the implementation details differ (e.g., variable naming, how the board is processed, input/output methods).""
}",1
2013_0_1,84294,2013_0_1,88116,CLONE,2026-07-11 14:55:11,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both check for winning conditions in rows, columns, and diagonals, handling 'T' as a wildcard for either player. Both output 'X won', 'O won', 'Draw', or 'Game has not completed' based on the same logic. While the implementation approaches differ (one uses direct boolean checks and counters, the other uses string pattern matching with a HashSet), the functional outcome and problem domain are identical.""
}",2
2013_0_1,84294,2013_0_1,124226,CLONE,2026-07-11 14:55:13,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like game problem (likely the Google Code Jam 'Tic-Tac-Toe-Tomek' problem). They both: 1) Read multiple test cases, 2) Parse a 4x4 grid of characters ('X', 'O', 'T', '.'). 3) Check all rows, columns, and diagonals for winning conditions (where 'T' acts as a wildcard), 4) Determine if X or O has won, 5) Handle incomplete games (when there are empty cells), and 6) Output appropriate results ('X won', 'O won', 'Draw', or 'Game has not completed'). While the implementation details differ (different variable names, control flow structures, and some minor logic variations like how diagonal checks are handled), the core algorithm and expected outputs are identical.""
}",3
2013_0_1,58633,2013_0_1,124149,CLONE,2026-07-11 14:55:14,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like game (likely the Tic-Tac-Toe or Crossword puzzle variant). They both read a grid of 4x4 characters ('X', 'O', '.', 'T'), determine if there's a winner by checking rows, columns, and diagonals, and output the result ('X won', 'O won', 'Draw', or 'Game has not completed') for each test case. The core algorithmic approach, data structures used (arrays), and logic flow are fundamentally identical, though the implementation details and variable naming differ.""
}",4
2013_0_1,58633,2013_0_1,88116,CLONE,2026-07-11 14:55:15,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like game problem (likely from Google Code Jam). They both read a 4x4 board, check for winning conditions (rows, columns, diagonals), and determine if X wins, O wins, the game is a draw, or not completed. While the implementation approaches differ significantly - one uses numeric multiplication to detect patterns and the other uses string matching with a HashSet - the core functionality and expected outputs are identical. Both handle the same input/output format and produce equivalent results for the same test cases.""
}",5
2013_0_1,58633,2013_0_1,124226,CLONE,2026-07-11 14:55:16,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving the Tic-Tac-Toe (or equivalent game) problem where they check rows, columns, and diagonals for winning conditions ('X' or 'O'). They both read a 4x4 grid from input, process each cell to determine if it's 'X', 'O', '.', or 'T', then check all possible winning combinations. The output format is also similar, indicating which player won or if the game is incomplete or a draw. While the implementation details differ (e.g., use of arrays vs. 2D char arrays, different variable names, different I/O methods), the core functionality and algorithmic approach are identical.""
}",6
2013_0_1,124149,2013_0_1,88116,CLONE,2026-07-11 14:55:18,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like game problem (likely the Google Code Jam 2013 Qualification Round Problem A). They both read a 4x4 grid of characters ('X', 'O', 'T', '.') and determine the game state: whether X wins, O wins, it's a draw, or the game hasn't completed. Both use different approaches but achieve the same result - checking rows, columns, and diagonals for winning conditions. In Snippet 1, this is done by creating separate X and O grids and checking for all Xs or Os in each line. In Snippet 2, it uses a HashSet approach where all possible lines (rows, columns, diagonals) are constructed as strings and checked against predefined winning patterns. Despite structural differences, both programs process the same input format and produce identical output for the same inputs.""
}",7
2013_0_1,124149,2013_0_1,124226,CLONE,2026-07-11 14:55:19,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe game on a 4x4 board. They both read input from files/stdin, parse the board state, check rows, columns, and diagonals for winning conditions involving 'X' and 'O', handle the special case of 'T' (which acts as a wildcard), and output the appropriate result ('X won', 'O won', 'Draw', or 'Game has not completed'). The core algorithm and decision-making process are identical between the two snippets.""
}",8
2013_0_1,88116,2013_0_1,124226,CLONE,2026-07-11 14:55:20,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe game (or a variant called 'Tic-Tac-Toe with T's'). They both check for winning conditions across rows, columns, and diagonals, treating 'T' as a wildcard that can represent either 'X' or 'O'. Both also handle the game states: 'X won', 'O won', 'Game has not completed' (when there are empty spaces), and 'Draw' (when no moves left and no winner). While the implementation details differ (one uses a HashSet approach with string patterns, the other uses direct character comparisons), the core functionality and output behavior are identical.""
}",9
2013_0_2,95524,2013_0_2,44471,CLONE,2026-07-11 14:55:21,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets solve different problems and have different approaches. Code Snippet 1 is solving a lawn mower problem where each cell in a grid must be achievable by cutting either horizontally or vertically from a higher height, checking all cells against their neighbors. Code Snippet 2 is checking if a pattern is possible by ensuring that cells with the minimum value can be achieved by making entire rows or columns equal to that minimum value. The logic, algorithms, and problem interpretations are fundamentally different.""
}",10
2013_0_2,95524,2013_0_2,55421,CLONE,2026-07-11 14:55:22,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be the same problem (Lawnmower problem from Google Code Jam). In Code Snippet 1, the approach involves checking horizontal and vertical conditions by comparing each cell with its neighbors in both directions, marking cells as possible or impossible based on these comparisons. In contrast, Code Snippet 2 uses a simpler approach where it checks if any cell has a value greater than all values in its row or column. While both try to determine whether a lawn pattern can be achieved by mowing rows and columns, their logic and implementation details differ significantly, making them not functionally similar.""
}",11
2013_0_2,95524,2013_0_2,90919,CLONE,2026-07-11 14:55:23,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given N×M grid of integers can be transformed into a valid configuration where each cell's value is either the maximum value in its row or column. The first snippet uses a more complex approach involving checking horizontal and vertical constraints separately, while the second snippet simplifies this by precomputing row and column maximums and then checking if each cell equals either its row or column maximum. Despite differences in implementation details and structure, both programs read input from files, process grids, and output 'YES' or 'NO' based on the same logical condition.""
}",12
2013_0_2,95524,2013_0_2,114653,CLONE,2026-07-11 14:55:24,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be the same problem (checking if a grid can be constructed by cutting grass from left-to-right and top-to-bottom). Code snippet 1 uses a complex approach involving checking horizontal and vertical constraints for each cell individually, while code snippet 2 uses a simpler method where it marks cells as valid if they are maximum values in their respective rows or columns. The core logic and approach differ significantly, making them not functionally similar.""
}",13
2013_0_2,44471,2013_0_2,55421,CLONE,2026-07-11 14:55:25,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same solution for the Lawnmower problem from Google Code Jam 2013 Round 1A. They both read input from files, process a 2D grid of integers representing lawn patterns, and determine whether it's possible to achieve the final pattern by cutting grass in rows or columns. Both algorithms check if each cell can be achieved by either its row or column being all equal to that cell's value. The core logic for determining validity is fundamentally the same, though they use different approaches for parsing input (Scanner vs BufferedReader/Scanner) and slightly different implementation details in the validation functions.""
}",14
2013_0_2,44471,2013_0_2,90919,CLONE,2026-07-11 14:55:26,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be the same problem (possibly the Lawnmower problem from Google Code Jam). However, their approaches are fundamentally different. Snippet 1 focuses on finding the lowest value and checking if each cell equal to that value can have valid row/column patterns, while Snippet 2 calculates maximum values per row and column and checks if each cell equals either its row's maximum or column's maximum. These different logic approaches lead to different solutions, making them not functionally similar.""
}",15
2013_0_2,44471,2013_0_2,114653,CLONE,2026-07-11 14:55:27,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be a lawn mower problem. Code Snippet 1 focuses on finding the lowest value in each matrix and checking if each cell with that value can be part of a valid row or column pattern, while Code Snippet 2 finds maximum values in each row and column and marks cells that match these maximums as 'visible', then checks if all cells are marked. The core logic and approach differ significantly, making them not functionally similar.""
}",16
2013_0_2,55421,2013_0_2,90919,CLONE,2026-07-11 14:55:28,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given lawn pattern can be achieved by cutting rows and columns. They both read input from files, process a grid of integers representing lawn heights, and output 'YES' or 'NO' based on whether each test case's pattern is valid. The core logic in both is equivalent: for each cell in the grid, check if its value equals the maximum in its row OR the maximum in its column. Code snippet 1 uses multiple BufferedReader/FileReader and BufferedWriter/FileWriter objects with manual parsing, while snippet 2 uses Scanner and PrintWriter more directly. However, the fundamental algorithm and problem solving approach are identical.""
}",17
2013_0_2,55421,2013_0_2,114653,CLONE,2026-07-11 14:55:30,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given lawn pattern can be achieved by cutting grass only in rows or columns. They both read input from files, process a 2D grid representing grass heights, and output 'YES' or 'NO' based on whether the pattern is achievable. The core logic in both involves checking if each cell's height can be achieved by either the maximum height in its row or column. While the implementation details differ (e.g., file I/O handling, variable naming, and some control flow), the fundamental algorithm and problem-solving approach are identical.""
}",18
2013_0_2,90919,2013_0_2,114653,CLONE,2026-07-11 14:55:31,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given N×M grid can be transformed into a valid state where each cell's value equals either the maximum value in its row or column. Both use a similar approach - for each cell, they check if its value matches the maximum in its row or column. Code snippet 1 precomputes row and column maxima and checks if each cell equals either the row max or column max. Code snippet 2 also computes row and column maxima but uses a boolean visibility matrix to track which cells satisfy the condition. The core logic and problem solving approach are fundamentally identical, though implemented with different variable names and structures.""
}",19
