program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,103399,2013_0_1,99825,CLONE,2026-07-11 16:29:21,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe game problem. They both read a board configuration (4x4 grid) and determine the game status (X wins, O wins, Draw, or Not Completed). Both check rows, columns, and diagonals for winning conditions, handle the 'T' (wildcard) character, and output the appropriate result. The core algorithm for detecting wins and determining game state is identical in both implementations, even though they use different programming languages (Java vs C++), different data structures",0
2013_0_1,99825,2013_0_1,125888,CLONE,2026-07-11 16:29:22,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic for determining the winner or game state in a Tic-Tac-Toe-Tomek game. They both read a grid of 4x4 characters representing the game board, check rows, columns, and diagonals for winning conditions (where all non-T characters in a line are the same), and handle special cases involving the 'T' character (which can represent either player). Both also identify when the game is not completed (when there are empty spaces) or when it's a draw. The core algorithmic approach",1
2013_0_1,125888,2013_0_1,84842,CLONE,2026-07-11 16:29:23,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same core logic for analyzing a Tic-Tac-Toe game board to determine the game state. They both check for winning conditions (rows, columns, diagonals) for players 'X' and 'O', handle the case where the game is incomplete (contains empty cells), and distinguish between a draw and a win. The Python version uses set operations and iteration to check for winning lines, while the PHP version uses regular expressions to match winning patterns. Despite different approaches and languages, both achieve the same functional outcome of determining whether",2
2013_0_1,84842,2013_0_1,103399,CLONE,2026-07-11 16:29:24,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe game analysis problem. They both read a board configuration, check for winning conditions (rows, columns, diagonals) for both 'X' and 'O', and determine the game status as 'X won', 'O won', 'Draw', or 'Game has not completed'. The core algorithm and logic are identical, though the implementation languages (PHP vs Java) and some syntactic differences exist. Both use pattern matching or string comparison to detect winning combinations and handle game states",3
2013_0_1,49244,2013_0_1,98087,CLONE,2026-07-11 16:29:25,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe game (referred to as 'Tic-Tac-Toe' or 'T' in the code). They both read a 4x4 board, check rows, columns, and diagonals for winning conditions, and handle cases for 'X' winning, 'O' winning, draw, or incomplete game. The core algorithm and logic are identical, even though the implementation details differ (Java vs C++, different variable names, different I/O methods,",4
2013_0_1,98087,2013_0_1,91336,CLONE,2026-07-11 16:29:26,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic to determine the winner of a Tic-Tac-Toe-like game (Tic-Tac-Toe with a 4x4 grid and 'T' representing a wildcard character). They both check for wins horizontally, vertically, and diagonally for both players 'X' and 'O', treating 'T' as a wildcard that can represent either player. They also both check if the game is incomplete (contains '.') or if it's a draw. The core algorithm and logic flow are identical, even though the implementation",5
2013_0_1,91336,2013_0_1,102913,CLONE,2026-07-11 16:29:27,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both check rows, columns, and diagonals for winning conditions, handle 'T' as a wildcard character, detect if the game is incomplete (contains '.'), and return appropriate status messages. The core algorithm and logic are identical, though implemented in different languages (Python vs PHP) with different syntax and structure.""
}",6
2013_0_1,102913,2013_0_1,49244,CLONE,2026-07-11 16:29:28,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both read input from files, parse a board configuration, and check rows, columns, and diagonals for winning conditions. Both handle the special case of 'T' (which acts as a wildcard for either X or O), detect draws (when no player has won and no empty spaces), and incomplete games (when there are empty spaces but no winner). The core algorithm for checking win conditions is fundamentally the",7
2013_0_1,126886,2013_0_1,72071,CLONE,2026-07-11 16:29:29,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving the Tic-Tac-Toe-Tomek problem. They both read a board configuration, check for wins by rows, columns, and diagonals (using 'T' as a wildcard for either player), and determine if the game is a win for X, a win for O, a draw, or not completed. The core algorithm and logic flow are identical, even though the implementation details differ (Java vs C++, different variable names, different loop structures, etc.). Both programs process the same input format",8
2013_0_1,72071,2013_0_1,70537,CLONE,2026-07-11 16:29:30,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the winner of a Tic-Tac-Toe-like game on a 4x4 board. They both check rows, columns, and diagonals for winning conditions ('X' or 'O' with 'T' as a wildcard), and handle cases for draw or incomplete games. The core algorithm and logic flow are identical, even though the implementation languages (C++ vs Python) and some syntactic details differ.""
}",9
2013_0_1,70537,2013_0_1,127485,CLONE,2026-07-11 16:29:31,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for determining the state of a Tic-Tac-Toe game board. They both check rows, columns, and diagonals for winning conditions (where all non-empty cells in a line are either all 'X' or all 'O'), handle draws when no moves remain, and indicate when the game is not completed. The core algorithm is identical: check for wins, count wins for each player, and determine the final state based on win counts and board completion. The main differences are in syntax and language-specific constructs,",10
2013_0_1,127485,2013_0_1,126886,CLONE,2026-07-11 16:29:32,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same logic for solving a Tic-Tac-Toe-like problem where they determine the winner (X or O) or if the game is a draw or not completed. Both read input data, parse a 4x4 board, check rows, columns, and diagonals for winning conditions, and handle the 'T' wildcard character that represents either X or O. The core algorithm and logic flow are identical, even though the implementation details differ due to language-specific syntax and structures.""
}",11
2013_0_2,95524,2013_0_2,83774,CLONE,2026-07-11 16:29:33,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid can be transformed such that each cell's value is at least as large as all cells in its row and column. The core logic in both is identical - for each cell (i,j), they check if the cell value is greater than or equal to all values in its row (a[i][k] >= a[i][j]) and all values in its column (a[k][j] >= a[i][j]). If for any cell, both row and column",12
2013_0_2,83774,2013_0_2,78034,CLONE,2026-07-11 16:29:33,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid (lawn) can be viewed as a valid configuration where each cell's height is at least as high as the maximum height in its row and column. In other words, each cell must be visible from either its row or column perspective. Both algorithms iterate through each cell and check if it satisfies the condition that it is greater than or equal to the maximum value in its row and column. If any cell fails this condition, the result is 'NO'; otherwise, it",13
2013_0_2,78034,2013_0_2,71957,CLONE,2026-07-11 16:29:34,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid (lawn) can be achieved by cutting grass from either rows or columns, where each cell's value represents the height of grass. The core logic is identical in both: 1) Calculate the maximum value in each row and column, 2) For each cell, check if its value is less than both its row maximum and column maximum. If such a cell exists, the result is 'NO', otherwise 'YES'. The Python version uses list comprehensions and",14
2013_0_2,71957,2013_0_2,95524,CLONE,2026-07-11 16:29:35,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets implement different algorithms for solving what appears to be the same problem (possibly related to checking if a grid can be transformed to have certain properties). The PHP code calculates row and column maximums and checks if each element is greater than both its row and column maximums, returning 'NO' if such an element exists. The Java code uses a completely different approach involving checking horizontal and vertical constraints with nested loops, and maintains a 'posible' boolean array to track valid positions. The logic and approach are fundamentally different, making",15
2013_0_2,44471,2013_0_2,140779,CLONE,2026-07-11 16:29:36,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining whether a given 2D grid can be transformed into a pattern where each cell's value is achievable by taking the minimum of its row and column maximums. In the Java code, it checks if for each cell with the minimum value, either its entire row or column consists only of that minimum value. The C++ code checks if for each cell, if both its row maximum and column maximum are greater than the cell's value, then it's impossible. Both approaches are logically equivalent in that they verify",16
2013_0_2,140779,2013_0_2,122219,CLONE,2026-07-11 16:29:37,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same algorithm to determine if a grid can be transformed such that each cell's value is at least as large as the maximum value in its row and column. The core logic in both is identical: for each cell, check if it's smaller than both the maximum value in its row and the maximum value in its column. If such a cell exists, the answer is 'NO', otherwise 'YES'. The C++ version uses nested loops with max() function calls, while the Python version uses similar logic with list comprehensions and",17
2013_0_2,122219,2013_0_2,96711,CLONE,2026-07-11 16:29:38,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets are not functionally similar. While both appear to solve a lawn mowing problem where each cell must be at least as high as its row and column neighbors, they implement fundamentally different logic. The Python code checks if a cell is less than both the maximum in its row and the maximum in its column, while the PHP code checks if a cell is less than the maximum in its column and then checks if it's also less than the maximum in its row. The logic flow and conditions are different, making them not function",18
