Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[32459/50000] 2026-06-28 16:29:02 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[32460/50000] 2026-06-28 16:29:02 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[32461/50000] 2026-06-28 16:29:03 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/0_orig → NON-CLONE
[32462/50000] 2026-06-28 16:29:04 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/1_artifice → NON-CLONE
[32463/50000] 2026-06-28 16:29:04 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[32464/50000] 2026-06-28 16:29:05 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[32465/50000] 2026-06-28 16:29:05 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[32466/50000] 2026-06-28 16:29:06 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[32467/50000] 2026-06-28 16:29:07 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[32468/50000] 2026-06-28 16:29:07 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[32469/50000] 2026-06-28 16:29:08 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[32470/50000] 2026-06-28 16:29:09 | R4 | bubblesort/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
