Loaded 400 pairs from gcj_java_clones/pairs.csv × 5 round(s) = 2000 total (0 already done, 2000 remaining)
`torch_dtype` is deprecated! Use `dtype` instead!
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:  25%|██▌       | 1/4 [02:49<08:28, 169.43s/it]Fetching 4 files: 100%|██████████| 4/4 [02:49<00:00, 42.36s/it] 
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:02<00:08,  2.85s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:05<00:05,  2.67s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:07<00:02,  2.61s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  1.80s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  2.12s/it]
Model 'original' loaded. Starting inference...
--- Round 1/5 (0 done, 400 remaining) ---
[1/2000] 2026-08-03 18:02:54 | R1 | 2013_0_1/84294 vs 2013_0_1/58633 → CLONE
[2/2000] 2026-08-03 18:03:01 | R1 | 2013_0_1/84294 vs 2013_0_1/124149 → CLONE
[3/2000] 2026-08-03 18:03:08 | R1 | 2013_0_1/84294 vs 2013_0_1/88116 → CLONE
[4/2000] 2026-08-03 18:03:15 | R1 | 2013_0_1/84294 vs 2013_0_1/124226 → CLONE
[5/2000] 2026-08-03 18:03:25 | R1 | 2013_0_1/58633 vs 2013_0_1/124149 → CLONE
[6/2000] 2026-08-03 18:03:35 | R1 | 2013_0_1/58633 vs 2013_0_1/88116 → CLONE
[7/2000] 2026-08-03 18:03:44 | R1 | 2013_0_1/58633 vs 2013_0_1/124226 → CLONE
[8/2000] 2026-08-03 18:03:53 | R1 | 2013_0_1/124149 vs 2013_0_1/88116 → CLONE
[9/2000] 2026-08-03 18:04:02 | R1 | 2013_0_1/124149 vs 2013_0_1/124226 → CLONE
[10/2000] 2026-08-03 18:04:10 | R1 | 2013_0_1/88116 vs 2013_0_1/124226 → CLONE
[11/2000] 2026-08-03 18:04:17 | R1 | 2013_0_2/95524 vs 2013_0_2/44471 → CLONE
[12/2000] 2026-08-03 18:04:25 | R1 | 2013_0_2/95524 vs 2013_0_2/55421 → CLONE
[13/2000] 2026-08-03 18:04:33 | R1 | 2013_0_2/95524 vs 2013_0_2/90919 → CLONE
[14/2000] 2026-08-03 18:04:40 | R1 | 2013_0_2/95524 vs 2013_0_2/114653 → CLONE
[15/2000] 2026-08-03 18:04:50 | R1 | 2013_0_2/44471 vs 2013_0_2/55421 → CLONE
[16/2000] 2026-08-03 18:04:56 | R1 | 2013_0_2/44471 vs 2013_0_2/90919 → CLONE
[17/2000] 2026-08-03 18:05:04 | R1 | 2013_0_2/44471 vs 2013_0_2/114653 → CLONE
[18/2000] 2026-08-03 18:05:12 | R1 | 2013_0_2/55421 vs 2013_0_2/90919 → CLONE
[19/2000] 2026-08-03 18:05:19 | R1 | 2013_0_2/55421 vs 2013_0_2/114653 → CLONE
[20/2000] 2026-08-03 18:05:26 | R1 | 2013_0_2/90919 vs 2013_0_2/114653 → CLONE
[21/2000] 2026-08-03 18:05:35 | R1 | 2013_0_3/55548 vs 2013_0_3/94901 → CLONE
[22/2000] 2026-08-03 18:05:47 | R1 | 2013_0_3/55548 vs 2013_0_3/78294 → CLONE
[23/2000] 2026-08-03 18:05:54 | R1 | 2013_0_3/55548 vs 2013_0_3/118052 → CLONE
[24/2000] 2026-08-03 18:06:06 | R1 | 2013_0_3/55548 vs 2013_0_3/83531 → CLONE
[25/2000] 2026-08-03 18:06:15 | R1 | 2013_0_3/94901 vs 2013_0_3/78294 → CLONE
[26/2000] 2026-08-03 18:06:21 | R1 | 2013_0_3/94901 vs 2013_0_3/118052 → CLONE
[27/2000] 2026-08-03 18:06:31 | R1 | 2013_0_3/94901 vs 2013_0_3/83531 → CLONE
[28/2000] 2026-08-03 18:06:37 | R1 | 2013_0_3/78294 vs 2013_0_3/118052 → CLONE
[29/2000] 2026-08-03 18:06:44 | R1 | 2013_0_3/78294 vs 2013_0_3/83531 → CLONE
[30/2000] 2026-08-03 18:06:51 | R1 | 2013_0_3/118052 vs 2013_0_3/83531 → CLONE
[31/2000] 2026-08-03 18:06:57 | R1 | 2013_1_1/35305 vs 2013_1_1/30788 → CLONE
[32/2000] 2026-08-03 18:07:03 | R1 | 2013_1_1/35305 vs 2013_1_1/30610 → CLONE
[33/2000] 2026-08-03 18:07:11 | R1 | 2013_1_1/35305 vs 2013_1_1/30305 → CLONE
[34/2000] 2026-08-03 18:07:17 | R1 | 2013_1_1/35305 vs 2013_1_1/40715 → CLONE
[35/2000] 2026-08-03 18:07:23 | R1 | 2013_1_1/30788 vs 2013_1_1/30610 → CLONE
[36/2000] 2026-08-03 18:07:33 | R1 | 2013_1_1/30788 vs 2013_1_1/30305 → CLONE
[37/2000] 2026-08-03 18:07:39 | R1 | 2013_1_1/30788 vs 2013_1_1/40715 → CLONE
[38/2000] 2026-08-03 18:07:49 | R1 | 2013_1_1/30610 vs 2013_1_1/30305 → CLONE
[39/2000] 2026-08-03 18:07:56 | R1 | 2013_1_1/30610 vs 2013_1_1/40715 → CLONE
[40/2000] 2026-08-03 18:08:04 | R1 | 2013_1_1/30305 vs 2013_1_1/40715 → CLONE
[41/2000] 2026-08-03 18:08:09 | R1 | 2014_0_2/107403 vs 2014_0_2/81302 → CLONE
[42/2000] 2026-08-03 18:08:13 | R1 | 2014_0_2/107403 vs 2014_0_2/27351 → CLONE
[43/2000] 2026-08-03 18:08:17 | R1 | 2014_0_2/107403 vs 2014_0_2/41018 → CLONE
[44/2000] 2026-08-03 18:08:21 | R1 | 2014_0_2/107403 vs 2014_0_2/110678 → CLONE
[45/2000] 2026-08-03 18:08:26 | R1 | 2014_0_2/81302 vs 2014_0_2/27351 → CLONE
[46/2000] 2026-08-03 18:08:30 | R1 | 2014_0_2/81302 vs 2014_0_2/41018 → CLONE
[47/2000] 2026-08-03 18:08:35 | R1 | 2014_0_2/81302 vs 2014_0_2/110678 → CLONE
[48/2000] 2026-08-03 18:08:38 | R1 | 2014_0_2/27351 vs 2014_0_2/41018 → CLONE
[49/2000] 2026-08-03 18:08:43 | R1 | 2014_0_2/27351 vs 2014_0_2/110678 → CLONE
[50/2000] 2026-08-03 18:08:47 | R1 | 2014_0_2/41018 vs 2014_0_2/110678 → CLONE
[51/2000] 2026-08-03 18:09:02 | R1 | 2014_0_3/108079 vs 2014_0_3/27551 → CLONE
[52/2000] 2026-08-03 18:09:26 | R1 | 2014_0_3/108079 vs 2014_0_3/99421 → CLONE
[53/2000] 2026-08-03 18:10:07 | R1 | 2014_0_3/108079 vs 2014_0_3/22792 → CLONE
[54/2000] 2026-08-03 18:10:21 | R1 | 2014_0_3/108079 vs 2014_0_3/71973 → CLONE
[55/2000] 2026-08-03 18:10:41 | R1 | 2014_0_3/27551 vs 2014_0_3/99421 → CLONE
[56/2000] 2026-08-03 18:11:19 | R1 | 2014_0_3/27551 vs 2014_0_3/22792 → CLONE
[57/2000] 2026-08-03 18:11:29 | R1 | 2014_0_3/27551 vs 2014_0_3/71973 → CLONE
[58/2000] 2026-08-03 18:12:13 | R1 | 2014_0_3/99421 vs 2014_0_3/22792 → CLONE
[59/2000] 2026-08-03 18:12:32 | R1 | 2014_0_3/99421 vs 2014_0_3/71973 → CLONE
[60/2000] 2026-08-03 18:13:06 | R1 | 2014_0_3/22792 vs 2014_0_3/71973 → CLONE
[61/2000] 2026-08-03 18:13:16 | R1 | 2014_2_1/124976 vs 2014_2_1/115332 → CLONE
[62/2000] 2026-08-03 18:13:27 | R1 | 2014_2_1/124976 vs 2014_2_1/119554 → CLONE
[63/2000] 2026-08-03 18:13:37 | R1 | 2014_2_1/124976 vs 2014_2_1/126555 → CLONE
[64/2000] 2026-08-03 18:13:46 | R1 | 2014_2_1/124976 vs 2014_2_1/125050 → CLONE
[65/2000] 2026-08-03 18:13:54 | R1 | 2014_2_1/115332 vs 2014_2_1/119554 → CLONE
[66/2000] 2026-08-03 18:14:03 | R1 | 2014_2_1/115332 vs 2014_2_1/126555 → CLONE
[67/2000] 2026-08-03 18:14:12 | R1 | 2014_2_1/115332 vs 2014_2_1/125050 → CLONE
[68/2000] 2026-08-03 18:14:22 | R1 | 2014_2_1/119554 vs 2014_2_1/126555 → CLONE
[69/2000] 2026-08-03 18:14:31 | R1 | 2014_2_1/119554 vs 2014_2_1/125050 → CLONE
[70/2000] 2026-08-03 18:14:42 | R1 | 2014_2_1/126555 vs 2014_2_1/125050 → CLONE
[71/2000] 2026-08-03 18:14:52 | R1 | 2014_3_1/141827 vs 2014_3_1/137264 → CLONE
[72/2000] 2026-08-03 18:15:02 | R1 | 2014_3_1/141827 vs 2014_3_1/138894 → CLONE
[73/2000] 2026-08-03 18:15:13 | R1 | 2014_3_1/141827 vs 2014_3_1/136615 → CLONE
[74/2000] 2026-08-03 18:15:22 | R1 | 2014_3_1/141827 vs 2014_3_1/138529 → CLONE
[75/2000] 2026-08-03 18:15:28 | R1 | 2014_3_1/137264 vs 2014_3_1/138894 → CLONE
[76/2000] 2026-08-03 18:15:35 | R1 | 2014_3_1/137264 vs 2014_3_1/136615 → CLONE
[77/2000] 2026-08-03 18:15:42 | R1 | 2014_3_1/137264 vs 2014_3_1/138529 → CLONE
[78/2000] 2026-08-03 18:15:47 | R1 | 2014_3_1/138894 vs 2014_3_1/136615 → CLONE
[79/2000] 2026-08-03 18:15:52 | R1 | 2014_3_1/138894 vs 2014_3_1/138529 → CLONE
[80/2000] 2026-08-03 18:15:57 | R1 | 2014_3_1/136615 vs 2014_3_1/138529 → CLONE
[81/2000] 2026-08-03 18:16:02 | R1 | 2015_0_1/79967 vs 2015_0_1/35102 → CLONE
[82/2000] 2026-08-03 18:16:07 | R1 | 2015_0_1/79967 vs 2015_0_1/68106 → CLONE
[83/2000] 2026-08-03 18:16:13 | R1 | 2015_0_1/79967 vs 2015_0_1/65869 → CLONE
[84/2000] 2026-08-03 18:16:18 | R1 | 2015_0_1/79967 vs 2015_0_1/46754 → CLONE
[85/2000] 2026-08-03 18:16:23 | R1 | 2015_0_1/35102 vs 2015_0_1/68106 → CLONE
[86/2000] 2026-08-03 18:16:29 | R1 | 2015_0_1/35102 vs 2015_0_1/65869 → CLONE
[87/2000] 2026-08-03 18:16:34 | R1 | 2015_0_1/35102 vs 2015_0_1/46754 → CLONE
[88/2000] 2026-08-03 18:16:39 | R1 | 2015_0_1/68106 vs 2015_0_1/65869 → CLONE
[89/2000] 2026-08-03 18:16:43 | R1 | 2015_0_1/68106 vs 2015_0_1/46754 → CLONE
[90/2000] 2026-08-03 18:16:48 | R1 | 2015_0_1/65869 vs 2015_0_1/46754 → CLONE
[91/2000] 2026-08-03 18:16:53 | R1 | 2015_0_2/34257 vs 2015_0_2/32722 → CLONE
[92/2000] 2026-08-03 18:16:58 | R1 | 2015_0_2/34257 vs 2015_0_2/77145 → CLONE
[93/2000] 2026-08-03 18:17:02 | R1 | 2015_0_2/34257 vs 2015_0_2/72707 → CLONE
[94/2000] 2026-08-03 18:17:08 | R1 | 2015_0_2/34257 vs 2015_0_2/68668 → CLONE
[95/2000] 2026-08-03 18:17:13 | R1 | 2015_0_2/32722 vs 2015_0_2/77145 → CLONE
[96/2000] 2026-08-03 18:17:17 | R1 | 2015_0_2/32722 vs 2015_0_2/72707 → CLONE
[97/2000] 2026-08-03 18:17:22 | R1 | 2015_0_2/32722 vs 2015_0_2/68668 → CLONE
[98/2000] 2026-08-03 18:17:25 | R1 | 2015_0_2/77145 vs 2015_0_2/72707 → CLONE
[99/2000] 2026-08-03 18:17:30 | R1 | 2015_0_2/77145 vs 2015_0_2/68668 → CLONE
[100/2000] 2026-08-03 18:17:34 | R1 | 2015_0_2/72707 vs 2015_0_2/68668 → CLONE
[101/2000] 2026-08-03 18:17:51 | R1 | 2015_0_3/74464 vs 2015_0_3/88073 → CLONE
[102/2000] 2026-08-03 18:18:08 | R1 | 2015_0_3/74464 vs 2015_0_3/21597 → CLONE
[103/2000] 2026-08-03 18:18:22 | R1 | 2015_0_3/74464 vs 2015_0_3/62582 → CLONE
[104/2000] 2026-08-03 18:18:37 | R1 | 2015_0_3/74464 vs 2015_0_3/107238 → CLONE
[105/2000] 2026-08-03 18:18:50 | R1 | 2015_0_3/88073 vs 2015_0_3/21597 → CLONE
