[chain] 2026-07-05 17:39:23 START  gguf :: bartowski/Meta-Llama-3.1-8B-Instruct-GGUF::Meta-Llama-3.1-8B-Instruct-Q2_K.gguf
Loaded 384 pairs from gcj_crosslang_clones/pairs.csv × 5 round(s) = 1920 total (0 already done, 1920 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5 (0 done, 384 remaining) ---
[1/1920] 2026-07-05 17:39:32 | R1 | 2013_0_1/103399 vs 2013_0_1/99825 → CLONE
[2/1920] 2026-07-05 17:39:33 | R1 | 2013_0_1/99825 vs 2013_0_1/125888 → CLONE
[3/1920] 2026-07-05 17:39:34 | R1 | 2013_0_1/125888 vs 2013_0_1/84842 → CLONE
[4/1920] 2026-07-05 17:39:35 | R1 | 2013_0_1/84842 vs 2013_0_1/103399 → CLONE
[5/1920] 2026-07-05 17:39:35 | R1 | 2013_0_1/49244 vs 2013_0_1/98087 → CLONE
[6/1920] 2026-07-05 17:39:36 | R1 | 2013_0_1/98087 vs 2013_0_1/91336 → CLONE
[7/1920] 2026-07-05 17:39:37 | R1 | 2013_0_1/91336 vs 2013_0_1/102913 → CLONE
[8/1920] 2026-07-05 17:39:38 | R1 | 2013_0_1/102913 vs 2013_0_1/49244 → CLONE
[9/1920] 2026-07-05 17:39:39 | R1 | 2013_0_1/126886 vs 2013_0_1/72071 → CLONE
[10/1920] 2026-07-05 17:39:40 | R1 | 2013_0_1/72071 vs 2013_0_1/70537 → CLONE
[11/1920] 2026-07-05 17:39:41 | R1 | 2013_0_1/70537 vs 2013_0_1/127485 → CLONE
[12/1920] 2026-07-05 17:39:42 | R1 | 2013_0_1/127485 vs 2013_0_1/126886 → CLONE
[13/1920] 2026-07-05 17:39:43 | R1 | 2013_0_2/95524 vs 2013_0_2/83774 → CLONE
[14/1920] 2026-07-05 17:39:43 | R1 | 2013_0_2/83774 vs 2013_0_2/78034 → CLONE
[15/1920] 2026-07-05 17:39:44 | R1 | 2013_0_2/78034 vs 2013_0_2/71957 → CLONE
[16/1920] 2026-07-05 17:39:45 | R1 | 2013_0_2/71957 vs 2013_0_2/95524 → CLONE
[17/1920] 2026-07-05 17:39:46 | R1 | 2013_0_2/44471 vs 2013_0_2/140779 → CLONE
[18/1920] 2026-07-05 17:39:46 | R1 | 2013_0_2/140779 vs 2013_0_2/122219 → CLONE
[19/1920] 2026-07-05 17:39:47 | R1 | 2013_0_2/122219 vs 2013_0_2/96711 → CLONE
[20/1920] 2026-07-05 17:39:48 | R1 | 2013_0_2/96711 vs 2013_0_2/44471 → CLONE
[21/1920] 2026-07-05 17:39:49 | R1 | 2013_0_2/55421 vs 2013_0_2/91409 → CLONE
[22/1920] 2026-07-05 17:39:49 | R1 | 2013_0_2/91409 vs 2013_0_2/85165 → CLONE
[23/1920] 2026-07-05 17:39:50 | R1 | 2013_0_2/85165 vs 2013_0_2/68303 → CLONE
[24/1920] 2026-07-05 17:39:51 | R1 | 2013_0_2/68303 vs 2013_0_2/55421 → CLONE
[25/1920] 2026-07-05 17:39:52 | R1 | 2013_0_3/108834 vs 2013_0_3/102625 → CLONE
[26/1920] 2026-07-05 17:39:53 | R1 | 2013_0_3/102625 vs 2013_0_3/102207 → CLONE
[27/1920] 2026-07-05 17:39:54 | R1 | 2013_0_3/102207 vs 2013_0_3/89287 → CLONE
[28/1920] 2026-07-05 17:39:56 | R1 | 2013_0_3/89287 vs 2013_0_3/108834 → CLONE
[29/1920] 2026-07-05 17:39:56 | R1 | 2013_0_3/59317 vs 2013_0_3/81195 → CLONE
[30/1920] 2026-07-05 17:39:57 | R1 | 2013_0_3/81195 vs 2013_0_3/51164 → CLONE
[31/1920] 2026-07-05 17:39:58 | R1 | 2013_0_3/51164 vs 2013_0_3/92037 → CLONE
[32/1920] 2026-07-05 17:39:58 | R1 | 2013_0_3/92037 vs 2013_0_3/59317 → CLONE
[33/1920] 2026-07-05 17:39:59 | R1 | 2013_0_3/74156 vs 2013_0_3/53348 → CLONE
[34/1920] 2026-07-05 17:40:00 | R1 | 2013_0_3/53348 vs 2013_0_3/70289 → CLONE
[35/1920] 2026-07-05 17:40:01 | R1 | 2013_0_3/70289 vs 2013_0_3/132829 → CLONE
[36/1920] 2026-07-05 17:40:01 | R1 | 2013_0_3/132829 vs 2013_0_3/74156 → CLONE
[37/1920] 2026-07-05 17:40:02 | R1 | 2013_1_1/42047 vs 2013_1_1/28766 → CLONE
[38/1920] 2026-07-05 17:40:03 | R1 | 2013_1_1/28766 vs 2013_1_1/37029 → CLONE
[39/1920] 2026-07-05 17:40:04 | R1 | 2013_1_1/37029 vs 2013_1_1/34507 → CLONE
[40/1920] 2026-07-05 17:40:05 | R1 | 2013_1_1/34507 vs 2013_1_1/42047 → CLONE
[41/1920] 2026-07-05 17:40:05 | R1 | 2013_1_1/30835 vs 2013_1_1/30228 → CLONE
[42/1920] 2026-07-05 17:40:06 | R1 | 2013_1_1/30228 vs 2013_1_1/32497 → CLONE
[43/1920] 2026-07-05 17:40:07 | R1 | 2013_1_1/32497 vs 2013_1_1/39026 → CLONE
[44/1920] 2026-07-05 17:40:07 | R1 | 2013_1_1/39026 vs 2013_1_1/30835 → CLONE
[45/1920] 2026-07-05 17:40:08 | R1 | 2013_1_1/32414 vs 2013_1_1/30618 → CLONE
[46/1920] 2026-07-05 17:40:09 | R1 | 2013_1_1/30618 vs 2013_1_1/30519 → CLONE
[47/1920] 2026-07-05 17:40:10 | R1 | 2013_1_1/30519 vs 2013_1_1/31779 → CLONE
[48/1920] 2026-07-05 17:40:10 | R1 | 2013_1_1/31779 vs 2013_1_1/32414 → CLONE
[49/1920] 2026-07-05 17:40:11 | R1 | 2014_2_1/115757 vs 2014_2_1/131278 → CLONE
[50/1920] 2026-07-05 17:40:12 | R1 | 2014_2_1/131278 vs 2014_2_1/128920 → CLONE
[51/1920] 2026-07-05 17:40:13 | R1 | 2014_2_1/128920 vs 2014_2_1/118754 → CLONE
[52/1920] 2026-07-05 17:40:14 | R1 | 2014_2_1/118754 vs 2014_2_1/115757 → CLONE
[53/1920] 2026-07-05 17:40:15 | R1 | 2014_2_1/129296 vs 2014_2_1/119165 → CLONE
[54/1920] 2026-07-05 17:40:16 | R1 | 2014_2_1/119165 vs 2014_2_1/118416 → CLONE
[55/1920] 2026-07-05 17:40:16 | R1 | 2014_2_1/118416 vs 2014_2_1/116147 → CLONE
[56/1920] 2026-07-05 17:40:17 | R1 | 2014_2_1/116147 vs 2014_2_1/129296 → CLONE
[57/1920] 2026-07-05 17:40:19 | R1 | 2014_2_1/131873 vs 2014_2_1/118489 → CLONE
[58/1920] 2026-07-05 17:40:20 | R1 | 2014_2_1/118489 vs 2014_2_1/121201 → CLONE
[59/1920] 2026-07-05 17:40:20 | R1 | 2014_2_1/121201 vs 2014_2_1/114208 → CLONE
[60/1920] 2026-07-05 17:40:21 | R1 | 2014_2_1/114208 vs 2014_2_1/131873 → CLONE
[61/1920] 2026-07-05 17:40:22 | R1 | 2014_3_1/135560 vs 2014_3_1/138308 → CLONE
[62/1920] 2026-07-05 17:40:23 | R1 | 2014_3_1/138308 vs 2014_3_1/139209 → CLONE
[63/1920] 2026-07-05 17:40:24 | R1 | 2014_3_1/139209 vs 2014_3_1/142092 → CLONE
[64/1920] 2026-07-05 17:40:24 | R1 | 2014_3_1/142092 vs 2014_3_1/135560 → CLONE
[65/1920] 2026-07-05 17:40:25 | R1 | 2014_3_1/138333 vs 2014_3_1/134611 → CLONE
[66/1920] 2026-07-05 17:40:26 | R1 | 2014_3_1/134611 vs 2014_3_1/139370 → CLONE
[67/1920] 2026-07-05 17:40:27 | R1 | 2014_3_1/139370 vs 2014_3_1/134295 → CLONE
[68/1920] 2026-07-05 17:40:27 | R1 | 2014_3_1/134295 vs 2014_3_1/138333 → CLONE
[69/1920] 2026-07-05 17:40:28 | R1 | 2014_3_1/140281 vs 2014_3_1/132142 → CLONE
[70/1920] 2026-07-05 17:40:29 | R1 | 2014_3_1/132142 vs 2014_3_1/143074 → CLONE
[71/1920] 2026-07-05 17:40:29 | R1 | 2014_3_1/143074 vs 2014_3_1/132975 → CLONE
[72/1920] 2026-07-05 17:40:30 | R1 | 2014_3_1/132975 vs 2014_3_1/140281 → CLONE
[73/1920] 2026-07-05 17:40:31 | R1 | 2015_0_1/47939 vs 2015_0_1/44230 → CLONE
[74/1920] 2026-07-05 17:40:32 | R1 | 2015_0_1/44230 vs 2015_0_1/106809 → CLONE
[75/1920] 2026-07-05 17:40:32 | R1 | 2015_0_1/106809 vs 2015_0_1/25955 → CLONE
[76/1920] 2026-07-05 17:40:33 | R1 | 2015_0_1/25955 vs 2015_0_1/47939 → CLONE
[77/1920] 2026-07-05 17:40:34 | R1 | 2015_0_1/43660 vs 2015_0_1/64620 → CLONE
[78/1920] 2026-07-05 17:40:35 | R1 | 2015_0_1/64620 vs 2015_0_1/86599 → CLONE
[79/1920] 2026-07-05 17:40:36 | R1 | 2015_0_1/86599 vs 2015_0_1/28465 → CLONE
[80/1920] 2026-07-05 17:40:36 | R1 | 2015_0_1/28465 vs 2015_0_1/43660 → CLONE
[81/1920] 2026-07-05 17:40:37 | R1 | 2015_0_1/100718 vs 2015_0_1/65110 → CLONE
[82/1920] 2026-07-05 17:40:38 | R1 | 2015_0_1/65110 vs 2015_0_1/60803 → CLONE
[83/1920] 2026-07-05 17:40:38 | R1 | 2015_0_1/60803 vs 2015_0_1/96593 → CLONE
[84/1920] 2026-07-05 17:40:39 | R1 | 2015_0_1/96593 vs 2015_0_1/100718 → CLONE
[85/1920] 2026-07-05 17:40:40 | R1 | 2015_0_2/91000 vs 2015_0_2/96440 → CLONE
[86/1920] 2026-07-05 17:40:41 | R1 | 2015_0_2/96440 vs 2015_0_2/36519 → CLONE
[87/1920] 2026-07-05 17:40:41 | R1 | 2015_0_2/36519 vs 2015_0_2/103402 → CLONE
[88/1920] 2026-07-05 17:40:42 | R1 | 2015_0_2/103402 vs 2015_0_2/91000 → CLONE
[89/1920] 2026-07-05 17:40:43 | R1 | 2015_0_2/21812 vs 2015_0_2/88257 → CLONE
[90/1920] 2026-07-05 17:40:44 | R1 | 2015_0_2/88257 vs 2015_0_2/81081 → CLONE
[91/1920] 2026-07-05 17:40:45 | R1 | 2015_0_2/81081 vs 2015_0_2/102321 → CLONE
[92/1920] 2026-07-05 17:40:45 | R1 | 2015_0_2/102321 vs 2015_0_2/21812 → CLONE
[93/1920] 2026-07-05 17:40:46 | R1 | 2015_0_2/40957 vs 2015_0_2/38840 → CLONE
[94/1920] 2026-07-05 17:40:47 | R1 | 2015_0_2/38840 vs 2015_0_2/100159 → CLONE
[95/1920] 2026-07-05 17:40:48 | R1 | 2015_0_2/100159 vs 2015_0_2/55775 → CLONE
[96/1920] 2026-07-05 17:40:48 | R1 | 2015_0_2/55775 vs 2015_0_2/40957 → CLONE
[97/1920] 2026-07-05 17:40:50 | R1 | 2015_0_3/42051 vs 2015_0_3/41900 → CLONE
[98/1920] 2026-07-05 17:40:51 | R1 | 2015_0_3/41900 vs 2015_0_3/103585 → CLONE
[99/1920] 2026-07-05 17:40:52 | R1 | 2015_0_3/103585 vs 2015_0_3/19800 → CLONE
[100/1920] 2026-07-05 17:40:53 | R1 | 2015_0_3/19800 vs 2015_0_3/42051 → CLONE
[101/1920] 2026-07-05 17:40:54 | R1 | 2015_0_3/47513 vs 2015_0_3/49764 → CLONE
[102/1920] 2026-07-05 17:40:55 | R1 | 2015_0_3/49764 vs 2015_0_3/103774 → CLONE
[103/1920] 2026-07-05 17:40:56 | R1 | 2015_0_3/103774 vs 2015_0_3/102323 → CLONE
[104/1920] 2026-07-05 17:40:57 | R1 | 2015_0_3/102323 vs 2015_0_3/47513 → CLONE
[105/1920] 2026-07-05 17:40:58 | R1 | 2015_0_3/96608 vs 2015_0_3/23036 → CLONE
[106/1920] 2026-07-05 17:40:59 | R1 | 2015_0_3/23036 vs 2015_0_3/72742 → CLONE
[107/1920] 2026-07-05 17:41:01 | R1 | 2015_0_3/72742 vs 2015_0_3/18309 → CLONE
[108/1920] 2026-07-05 17:41:02 | R1 | 2015_0_3/18309 vs 2015_0_3/96608 → CLONE
[109/1920] 2026-07-05 17:41:03 | R1 | 2015_0_4/86262 vs 2015_0_4/63026 → CLONE
[110/1920] 2026-07-05 17:41:04 | R1 | 2015_0_4/63026 vs 2015_0_4/57828 → CLONE
[111/1920] 2026-07-05 17:41:04 | R1 | 2015_0_4/57828 vs 2015_0_4/68310 → CLONE
[112/1920] 2026-07-05 17:41:05 | R1 | 2015_0_4/68310 vs 2015_0_4/86262 → CLONE
[113/1920] 2026-07-05 17:41:06 | R1 | 2015_0_4/30398 vs 2015_0_4/86932 → CLONE
[114/1920] 2026-07-05 17:41:07 | R1 | 2015_0_4/86932 vs 2015_0_4/94256 → CLONE
[115/1920] 2026-07-05 17:41:07 | R1 | 2015_0_4/94256 vs 2015_0_4/19708 → CLONE
[116/1920] 2026-07-05 17:41:08 | R1 | 2015_0_4/19708 vs 2015_0_4/30398 → CLONE
[117/1920] 2026-07-05 17:41:09 | R1 | 2015_0_4/29877 vs 2015_0_4/60776 → CLONE
[118/1920] 2026-07-05 17:41:10 | R1 | 2015_0_4/60776 vs 2015_0_4/74018 → CLONE
[119/1920] 2026-07-05 17:41:10 | R1 | 2015_0_4/74018 vs 2015_0_4/78114 → CLONE
[120/1920] 2026-07-05 17:41:11 | R1 | 2015_0_4/78114 vs 2015_0_4/29877 → CLONE
[121/1920] 2026-07-05 17:41:12 | R1 | 2015_1_1/112276 vs 2015_1_1/111086 → CLONE
[122/1920] 2026-07-05 17:41:13 | R1 | 2015_1_1/111086 vs 2015_1_1/117734 → CLONE
[123/1920] 2026-07-05 17:41:14 | R1 | 2015_1_1/117734 vs 2015_1_1/122934 → CLONE
[124/1920] 2026-07-05 17:41:14 | R1 | 2015_1_1/122934 vs 2015_1_1/112276 → CLONE
[125/1920] 2026-07-05 17:41:15 | R1 | 2015_1_1/118030 vs 2015_1_1/122263 → CLONE
[126/1920] 2026-07-05 17:41:16 | R1 | 2015_1_1/122263 vs 2015_1_1/124602 → CLONE
[127/1920] 2026-07-05 17:41:16 | R1 | 2015_1_1/124602 vs 2015_1_1/111264 → CLONE
[128/1920] 2026-07-05 17:41:17 | R1 | 2015_1_1/111264 vs 2015_1_1/118030 → CLONE
