program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,103399,2013_0_1,99825,CLONE,2026-07-22 13:24:50,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets implement the solution to the 'Tic-Tac-Toe' problem (specifically Google Code Jam 2013 Round 1C Problem A). They both read an input file containing multiple test cases, each representing a 4x4 Tic-Tac-Toe board with characters 'X', 'O', 'T' (wildcard), and '.' (empty). Both snippets determine the status of each board: whether 'X' won, 'O' won, the game is a draw, or the game is not completed. Although they use different algorithms (Snippet 1 uses string matching on rows, columns, and diagonals, while Snippet 2 uses dynamic programming/accumulation for rows/columns and direct checks for diagonals) and different languages (Java vs C++), they achieve the exact same functional result for the same input format.""
}",0
2013_0_1,99825,2013_0_1,125888,CLONE,2026-07-22 13:25:01,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the 'Tic-Tac-Toe-Tomek' problem, likely from the Google Code Jam 2013 Round 1C. They both read an input file (or stdin) containing a number of test cases, followed by 4x4 game boards consisting of 'X', 'O', 'T' (Tomek), and '.' (empty). Both snippets analyze each board to determine the game state: whether 'X' won, 'O' won, the game is a draw, or the game has not completed. They both output the result in the format 'Case #n: <result>'. Although the implementation details differ significantly (C++ uses manual array scanning and accumulation logic, while Python uses set operations to check for winning lines), the functional behavior and input/output specifications are identical.""
}",1
2013_0_1,125888,2013_0_1,84842,CLONE,2026-07-22 13:25:11,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the solution for the 'Tic-Tac-Toe-Tomek' problem (likely from Google Code Jam 2013 Round 1C). They both read a number of test cases, process 4x4 game boards where 'X' and 'O' are players, 'T' is a wildcard that can match either player, and '.' is an empty cell. Both snippets determine the game state: if a player has a complete row, column, or diagonal (ignoring 'T'), that player won; if there are empty cells ('.') and no winner, the game is ongoing; otherwise, it is a draw. The output format 'Case #n: Result' is identical in both. Although the implementation details differ (Python uses set logic and explicit iteration, while PHP uses regular expressions on a concatenated string), the functional behavior and logic for determining the game state are equivalent.""
}",2
2013_0_1,84842,2013_0_1,103399,CLONE,2026-07-22 13:25:24,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement a solution for the 'Tic-Tac-Toe' problem (likely from Google Code Jam 2013 Qualification Round). They both read input containing multiple test cases, where each test case consists of a 4x4 grid of characters ('X', 'O', 'T', '.'). Both snippets determine the status of the game by checking for winning conditions (rows, columns, and diagonals) where a player has 4 marks (allowing 'T' to substitute for 'X' or 'O'). They both handle the priority of outcomes: if both X and O have winning lines, it's a Draw; if only one wins, they won; if there are empty cells ('.'), the game is not completed; otherwise, it's a Draw. The output format 'Case #N: Result' is identical in both. Although the Java code has a class name 'KnapSack' which is misleading, the internal logic within the 'Board' class and the main method clearly replicates the Tic-Tac-Toe logic found in the PHP snippet.""
}",3
2013_0_1,49244,2013_0_1,98087,CLONE,2026-07-22 13:25:38,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining the winner of a 4x4 Tic-Tac-Toe-like game (likely from Google Code Jam 2014 Round 1A, Problem A: 'Tic-Tac-Toe-Tac-Toe'). \n\n1. **Input Handling**: Both read an integer for the number of test cases, then for each case, read 4 lines representing the 4x4 board. They handle the input format (including skipping whitespace/newlines between cases) similarly.\n2. **Game Logic**: \n   - Both interpret the board characters 'X', 'O', 'T' (Treat as either), and '.' (Empty).\n   - Both check for a winner by examining all rows, columns, and two main diagonals.\n   - Both treat 'T' as a wildcard that can match either 'X' or 'O'. Snippet 1 does this dynamically during the check loop. Snippet 2 creates two copies of the board: one where 'T' becomes 'X' and another where 'T' becomes 'O', then checks for full lines of '",4
2013_0_1,98087,2013_0_1,91336,CLONE,2026-07-22 13:25:48,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets solve the same problem: determining the status of a 4x4 Tic-Tac-Toe game board. They both handle multiple test cases, check for a winner ('X' or 'O') by examining rows, columns, and diagonals (treating 'T' as a wildcard that matches the player's symbol), check if the game is incomplete (presence of '.'), and output 'Draw' if neither of the above conditions is met. The logic for checking winners and the output format ('Case #t: ...') are functionally equivalent, despite differences in language (C++ vs Python) and implementation details (e.g., C++ uses separate arrays for X and O checks with 'T' replacement, while Python uses a single check with wildcard logic).""
}",5
2013_0_1,91336,2013_0_1,102913,CLONE,2026-07-22 13:25:59,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining the status of a 4x4 Tic-Tac-Toe game (specifically from Google Code Jam 2014 Round 1A Problem A). They both handle input containing multiple test cases, each with a 4x4 grid containing 'X', 'O', 'T' (Tie/blank), and '.' (empty). Both snippets check for winning conditions (4 in a row, column, or diagonal) where 'T' acts as a wildcard for the player's mark. They both correctly distinguish between a win for 'X', a win for 'O', a draw (no '.' and no winner), and an incomplete game (presence of '.'). Although the implementation details differ (Python vs PHP, different parsing methods, different internal logic structures for checking rows/cols/diagonals), the functional outcome and logic for determining the game state are identical.""
}",6
2013_0_1,102913,2013_0_1,49244,CLONE,2026-07-22 13:26:12,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem, which is determining the winner of a 4x4 Tic-Tac-Toe-like game (likely from Google Code Jam 2013 Round 1C - Tic-Tac-Toe-Tomeo). \n\n1. **Input/Output Handling**: Both snippets read from an input file (or string) containing a number of test cases, process each 4x4 board, and write the result to an output file in the format 'Case #N: Result'.\n2. **Game Logic**: Both implement the specific rules for this variant of Tic-Tac-Toe:\n   - A player wins if they have 4 of their marks in a row, column, or diagonal.\n   - The 'T' character acts as a wildcard that can substitute for either 'X' or 'O' in a winning line.\n   - If no one has won and there are empty spaces ('.'), the game is 'Game has not completed'.\n   - If no one has won and there are no empty spaces, it is a 'Draw'.\n3. **Implementation Details**:",7
2013_0_1,126886,2013_0_1,72071,CLONE,2026-07-22 13:26:23,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the 'Tic-Tac-Toe, Tomek!' problem from Google Code Jam 2013. They both read a number of test cases, process 4x4 game boards where 'T' acts as a wildcard for either 'X' or 'O', and determine the game state. Specifically, both snippets check for winning conditions (rows, columns, and diagonals) where a player has 3 or 4 marks (with 'T' substituting for the player's mark). If no one wins, they check if the board is full (Draw) or if there are empty cells ('.'). The output format ('Case #t: Result') is identical in both. Although the implementation details differ (Snippet 1 uses complex boolean logic and character comparisons, while Snippet 2 uses counters for X, O, and T), the functional behavior and results are the same.""
}",8
2013_0_1,72071,2013_0_1,70537,CLONE,2026-07-22 13:26:37,"{
 ""answer"": ""NO-NOT-SIMILAR"",
 ""explanation"": ""The two code snippets implement different logic for determining the state of a Tic-Tac-Toe game. \n\n1. **Handling of Simultaneous Wins (Draw Condition):** \n   - **Snippet 2 (Python)** correctly implements the logic for the Google Code Jam 'Tic-Tac-Toe' problem where if both X and O have winning lines, the result is a 'Draw'. It iterates through all lines and updates the state, switching to 'Draw' if a win for the opposite player is found after a win for the current player.\n   - **Snippet 1 (C++)** uses a `judge` variable that is set to 1 (X won) or 2 (O won) and breaks out of the loop immediately upon finding the first winning line. This means if X has a winning row and O has a winning column, the result depends on the order of checking (rows, then columns, then diagonals). It will report the winner of the first found line, ignoring any subsequent winning lines for the other player. Thus, it fails to detect 'Draw' cases where both players have winning lines.\n\n",9
2013_0_1,70537,2013_0_1,127485,CLONE,2026-07-22 13:26:48,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the solution for the 'Connect Four' problem (specifically from Google Code Jam 2013 Round 1A). They both read a series of 4x4 game boards from an input file, where each board consists of characters 'X', 'O', 'T', and '.'. Both snippets determine the state of the game by checking rows, columns, and diagonals for a winning condition (4 in a row, treating 'T' as a wildcard for the player's mark). If both players have winning lines, it reports a Draw. If no one has won, it checks if the board is full (Draw) or if there are empty spots ('Game has not completed'). The output format 'Case #N: Result' is identical in both. Although the implementation details differ (Python uses Counter and functional constructs, PHP uses manual loops and array checks), the logic and functional outcome are the same.""
}",10
2013_0_1,127485,2013_0_1,126886,CLONE,2026-07-22 13:27:01,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining the status of a 4x4 Tic-Tac-Toe board (specifically from Google Code Jam 2013 Qualification Round Problem B: Tic-Tac-Toe-Tomek). They both read input containing multiple test cases, parse the 4x4 grid, check for wins by 'X' or 'O' (handling 'T' as a tie/wildcard in the Java version, and implicitly handling it via absence of '.' and opponent in the PHP version), and output the result as 'X won', 'O won', 'Draw', or 'Game has not completed'. Although the PHP snippet has some logical flaws in how it counts wins (it increments counters for every winning line rather than just detecting if a player has won, which could lead to incorrect comparisons if multiple lines win, but typically in this problem only one player can win or it's a draw/incomplete) and the Java snippet is more robust in handling the 'T' character explicitly, their functional intent and overall structure (reading cases, checking rows/cols/diagonals, outputting formatted case results) are identical.",11
2013_0_2,95524,2013_0_2,83774,CLONE,2026-07-22 13:27:15,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem, likely 'Barn Painting' or a similar grid validation problem from a competitive programming contest (specifically Google Code Jam 2012 Qualification Round Problem B: 'Potion for the People' is not it, it is actually 'B: Garden Variety' or similar? No, looking at the logic: it checks if every element in a grid is the maximum in its row OR the maximum in its column. This is the logic for Google Code Jam 2012 Qualification Round Problem B: 'Potion for the People'? No. It is Problem B from 2012 Quals: 'Garden Variety'? No. It is Problem B from 2012 Quals: 'B: Potion'? No. Actually, this specific logic (is max in row OR max in col) corresponds to Google Code Jam 2012 Qualification Round Problem B: 'B: Garden Variety' is not it. It is Problem B: 'Potion for the People' is not it. Wait, the problem is 'B: Garden Variety' from 2012?",12
2013_0_2,83774,2013_0_2,78034,CLONE,2026-07-22 13:27:29,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem, which appears to be Google Code Jam 2010 Round 1A Problem A 'Lawnmower'. \n\n1. **Input Parsing**: Both snippets read the number of test cases, then for each case, read the dimensions (rows `r`/`m` and columns `c`/`n`) and the grid of integers.\n2. **Logic**: \n   - Snippet 1 (C++) iterates through every cell `(i, j)`. For each cell, it checks if there is any element in the same row `i` that is strictly greater than `a[i][j]` (setting `rows = false` if found) and if there is any element in the same column `j` that is strictly greater than `a[i][j]` (setting `cols = false` if found). If both `rows` and `cols` are false (meaning `a[i][j]` is not the maximum in its row AND not the maximum in its column), it sets `ok = false`.\n   - Snippet 2 (",13
2013_0_2,78034,2013_0_2,71957,CLONE,2026-07-22 13:27:42,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets solve the same algorithmic problem, likely from a competitive programming contest (specifically Google Code Jam 2011 Qualification Round Problem B: 'Lawnmower'). \n\n1. **Input Parsing**: Both snippets read the number of test cases, then for each case, read the dimensions (rows and columns) and the grid of integers. Snippet 1 uses Python's `sys.stdin` and `map`, while Snippet 2 uses PHP's `fgets` and `explode` to parse from a file.\n2. **Logic**: \n   - Both calculate the maximum value for each row (`rowmax` in Python, `$max_per_row` in PHP).\n   - Both calculate the maximum value for each column (`colmax` in Python, `$max_per_column` in PHP).\n   - Both iterate through every cell in the grid. If a cell's value is strictly less than the maximum of its row AND strictly less than the maximum of its column, they determine the result is 'NO'. Otherwise, the result is 'YES'.\n3. **Output**: Both print the result in the format '",14
