program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
InfixConverter,0_orig,InfixConverter,0_orig,CLONE,2026-07-23 14:18:34,"ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are identical. They contain the exact same class definition, methods, logic for converting infix to postfix notation, and main method execution flow. There are no differences in syntax, structure, or functionality between the two snippets.",
InfixConverter,0_orig,InfixConverter,1_artifice,CLONE,2026-07-23 14:18:47,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""The two code snippets are functionally identical. Code Snippet 2 appears to be a decompiled or obfuscated version of Code Snippet 1. \n\n1. **Class and Method Structure**: Both define a class `InfixConverter` with the same methods. In Snippet 1, methods are named descriptively (`ReadString`, `ReadInteger`, `InfixToPostfixConvert`), while in Snippet 2, they are renamed to generic identifiers (`m00`, `m10`, `m20`).\n2. **Logic Implementation**: The core logic for converting infix expressions to postfix notation in `InfixToPostfixConvert` (Snippet 1) and `m20` (Snippet 2) is exactly the same. Both use a `Stack` to handle operator precedence, iterating through the input string character by character. The control flow, including the `while` loop in Snippet 2 (which is functionally equivalent to the `for` loop in Snippet 1), handles operators (`+`, `-`, `*`, `/`) and operands identically.\n3. **Input/Output",
InfixConverter,0_orig,InfixConverter,test_0_orig_no_krakatau,CLONE,2026-07-23 14:19:00,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets implement the same functionality: converting an infix arithmetic expression string into a postfix expression string. \n\n1. **Helper Methods**: Both snippets contain `ReadString` and `ReadInteger` methods that read input from `System.in` using `BufferedReader` and `InputStreamReader`, handling exceptions similarly. The implementation details differ slightly (Snippet 2 uses fully qualified class names and slightly different variable assignments), but the behavior is identical.\n\n2. **Core Logic (`InfixToPostfixConvert`)**: \n   - Snippet 1 uses a standard `for` loop and `if-else` logic to process characters. It handles operators `+`, `-`, `*`, `/` by comparing precedence. If the current operator has lower or equal precedence to the top of the stack, it pops the stack. It uses `i--` to re-process the current character after popping.\n   - Snippet 2 appears to be decompiled or obfuscated code (using labels like `label7`, `label8`, and integer ASCII values for characters like `43` for `+`). However, tracing the logic reveals it performs the",
InfixConverter,0_orig,InfixConverter,test_0_orig_no_procyon,CLONE,2026-07-23 14:19:10,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same functionality: converting an infix arithmetic expression to a postfix expression. They share the same class name `InfixConverter` and method signatures. The `ReadString` and `ReadInteger` helper methods are functionally identical, with Snippet 2 using a more concise syntax for creating the BufferedReader. The core logic in `InfixToPostfixConvert` is algorithmically equivalent, handling operators (+, -, *, /) and operands by using a stack to manage precedence. Although Snippet 1 uses an intermediate `priority` variable and Snippet 2 uses nested if-else statements, the control flow and resulting behavior for handling operator precedence are the same. The `main` method in both snippets handles command-line arguments identically, defaulting to three specific test cases if no argument is provided, and producing the same output format.""
}",
InfixConverter,0_orig,InfixConverter,test_0_orig_pg_krakatau,CLONE,2026-07-23 14:19:24,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same core functionality: converting an infix arithmetic expression to a postfix expression (Reverse Polish Notation). \n\n1. **Core Logic**: Snippet 1 uses a clear `for` loop with `if-else` blocks to handle operators (+, -, *, /) and operands, utilizing a `Stack` to manage operator precedence. Snippet 2 implements the exact same algorithm but appears to be obfuscated or decompiled code. It uses `while` loops, explicit integer checks for ASCII values (e.g., 43 for '+', 45 for '-', 42 for '*', 47 for '/'), and complex label-based control flow (`break labelX`) which mimics the logic of the `if-else` structures in Snippet 1. The precedence handling logic (checking if the top of the stack is * or /) is identical in both.\n\n2. **Main Method Behavior**: Both snippets check if a command-line argument is provided. If so, they convert that string. If not, they run three specific hardcoded test cases: \""a+b*c\"", \""a+b*c/d-e\"", and",
InfixConverter,0_orig,InfixConverter,test_0_orig_pg_procyon,CLONE,2026-07-23 14:19:38,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same core functionality: converting an infix arithmetic expression string into a postfix expression string. \n\n1. **Core Logic**: The `InfixToPostfixConvert` method in Snippet 1 and the method `a` in Snippet 2 use identical algorithms. They both iterate through the input string, use a `Stack` to manage operators based on precedence (handling `*` and `/` with higher priority than `+` and `-`), and append operands directly to the output string. The logic for popping operators from the stack when a lower or equal precedence operator is encountered is structurally equivalent in both snippets.\n\n2. **Main Execution**: The `main` methods in both snippets behave identically. They check if a command-line argument is provided. If so, they process that argument. If not, they process three hardcoded test cases: `\""a+b*c\""`, `\""a+b*c/d-e\""`, and `\""a+b*c/d-e+f*h/i+j-k\""`. The output format (printing \""InFix\"" and \""PostFix\"" labels with tabs) is also identical.\n\n3",
InfixConverter,0_orig,InfixConverter,test_1_artifice_no_krakatau,CLONE,2026-07-23 14:19:52,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same functionality: converting an infix arithmetic expression to a postfix expression (Reverse Polish Notation). \n\n1. **Core Logic**: Both use a stack-based algorithm (Shunting-yard algorithm variant) to process the input string. They iterate through characters, pushing operands to the output buffer and handling operators based on precedence (multiplication/division vs addition/subtraction) using a stack.\n2. **Helper Methods**: Both contain methods to read a string and an integer from standard input (`ReadString`/`ReadInteger` in Snippet 1 vs `m00`/`m10` in Snippet 2). Although these are not used in the default execution path shown in `main`, they are functionally equivalent.\n3. **Main Execution**: The `main` method in both snippets checks if a command-line argument is provided. If so, it converts that argument. If not, it runs three specific test cases: `a+b*c`, `a+b*c/d-e`, and `a+b*c/d-e+f*h/i+j-k`. The output format and the logic for these test cases are identical.\n",
InfixConverter,0_orig,InfixConverter,test_1_artifice_no_procyon,CLONE,2026-07-23 14:20:03,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same functionality: converting an infix arithmetic expression to a postfix expression. They share the same class structure, input/output handling logic (reading from command line arguments or defaulting to hardcoded test cases), and the core algorithm for conversion using a stack. While there are minor syntactic differences (e.g., method names are obfuscated in Snippet 2, variable names differ, and Snippet 2 uses generics for the Stack), the logical flow and control structures are identical. Specifically, both handle operator precedence by checking if the top of the stack is '*' or '/' and popping if the current operator is '+' or '-', or if the current operator has equal/lower precedence depending on the specific logic branch. The main method in both snippets tests the same three specific expressions ('a+b*c', 'a+b*c/d-e', 'a+b*c/d-e+f*h/i+j-k') and produces the same output format.""
}",
InfixConverter,0_orig,InfixConverter,test_1_artifice_pg_krakatau,CLONE,2026-07-23 14:20:17,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same core algorithm: converting an infix mathematical expression string into a postfix (Reverse Polish Notation) string. \n\n1. **Core Logic**: Both use a stack to manage operators based on precedence. They iterate through the input string, appending operands directly to the output and pushing operators to the stack. When an operator is encountered, they check the precedence of the operator at the top of the stack. If the top operator has higher or equal precedence (specifically handling `*` and `/` vs `+` and `-`), they pop it to the output before pushing the new operator. This is the standard Shunting-yard algorithm logic for simple expressions without parentheses.\n2. **Main Execution**: Both `main` methods handle two cases: if a command-line argument is provided, they process that string; otherwise, they run three hardcoded test cases (`a+b*c`, `a+b*c/d-e`, `a+b*c/d-e+f*h/i+j-k`) and print the results in the same format.\n3. **Differences**: \n   - Snippet 1 includes unused helper methods `ReadString` and `Read",
InfixConverter,0_orig,InfixConverter,test_1_artifice_pg_procyon,CLONE,2026-07-23 14:20:30,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same core functionality: converting an infix arithmetic expression to a postfix expression using a stack-based algorithm (Shunting-yard algorithm variant). \n\n1. **Core Logic**: The method `InfixToPostfixConvert` in Snippet 1 and method `a` in Snippet 2 contain identical logic for processing characters. They both iterate through the input string, push operands to the output buffer, and manage operators on a stack based on precedence (checking if the top of the stack is `*` or `/` vs `+` or `-`). The control flow for popping from the stack and decrementing the index `i` to re-evaluate the current operator is exactly the same in both.\n\n2. **Main Execution**: The `main` method in both snippets behaves identically. If a command-line argument is provided, it converts that string. If no argument is provided, it runs three specific test cases (`a+b*c`, `a+b*c/d-e`, `a+b*c/d-e+f*h/i+j-k`) and prints the results in the same format.\n\n3. **Differences**: Snippet ",
InfixConverter,0_orig,SqrtAlgorithm,0_orig,NON-CLONE,2026-07-23 14:20:37,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a manual algorithm to calculate the square root of a double-precision floating-point number. Since their core functionalities (string manipulation/parsing vs. numerical calculation) are unrelated, they are not functionally similar.""
}",
InfixConverter,0_orig,SqrtAlgorithm,1_artifice,NON-CLONE,2026-07-23 14:20:43,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a custom algorithm to calculate the square root of a number and compares it against Java's built-in Math.sqrt function. There is no functional overlap between converting expression syntax and calculating square roots.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_0_orig_no_krakatau,NON-CLONE,2026-07-23 14:20:50,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a custom algorithm to calculate the square root of a double-precision floating-point number. Since one deals with string manipulation and expression parsing while the other deals with numerical computation of square roots, they are not functionally similar.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_0_orig_no_procyon,NON-CLONE,2026-07-23 14:20:56,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a custom algorithm to calculate the square root of a double-precision floating-point number. Since their core functionalities (expression parsing vs. numerical calculation) are unrelated, they are not functionally similar.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_0_orig_pg_krakatau,NON-CLONE,2026-07-23 14:21:03,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (like 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements an algorithm to calculate the square root of numbers, iterating through a range of values and printing the calculated square root alongside the result from Java's built-in Math.sqrt function for comparison. Their functionalities, inputs, outputs, and underlying logic are entirely unrelated.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_0_orig_pg_procyon,NON-CLONE,2026-07-23 14:21:10,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a manual square root algorithm that calculates the square root of numbers from 0 to 10000 in steps of 50 and compares the result with Java's built-in Math.sqrt function. There is no functional similarity between converting expression notation and calculating square roots.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_1_artifice_no_krakatau,NON-CLONE,2026-07-23 14:21:16,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a custom algorithm for calculating the square root of a double-precision floating-point number. Their inputs, outputs, and underlying logic are unrelated.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_1_artifice_no_procyon,NON-CLONE,2026-07-23 14:21:23,"{
""answer"": ""NO-NOT-SIMILAR"",
""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert mathematical expressions from infix notation (e.g., 'a+b*c') to postfix notation (e.g., 'abc*+'), utilizing a stack data structure to handle operator precedence. Code Snippet 2 implements a custom algorithm for calculating the square root of a double-precision floating-point number, using integer arithmetic and iterative refinement. Since one deals with string parsing and expression conversion while the other deals with numerical computation of square roots, they are not functionally similar.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_1_artifice_pg_krakatau,NON-CLONE,2026-07-23 14:21:30,"{
  ""answer"": ""NO-NOT-SIMILAR"",
  ""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements an integer square root algorithm that calculates and prints the square root for a range of numbers, comparing its result with Java's built-in Math.sqrt function. Their functionalities, logic, and outputs are unrelated.""
}",
InfixConverter,0_orig,SqrtAlgorithm,test_1_artifice_pg_procyon,NON-CLONE,2026-07-23 14:21:36,"{
""answer"": ""NO-NOT-SIMILAR"",
""explanation"": ""The two code snippets perform completely different tasks. Code Snippet 1 implements an algorithm to convert an infix mathematical expression (e.g., 'a+b*c') into a postfix expression (Reverse Polish Notation) using a stack. Code Snippet 2 implements a custom algorithm to calculate the square root of numbers and prints the results alongside the standard Math.sqrt() output for comparison. They have different inputs, outputs, and logical purposes.""
}",
