program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
InfixConverter,0_orig,InfixConverter,0_orig,CLONE,2026-08-09 11:31:24,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""The two code snippets provided are identical. They contain the exact same Java source code for the `InfixConverter` class, including the `InfixToPostfixConvert` method logic, the `ReadString` and `ReadInteger` helper methods, and the `main` method logic. Since there are no differences in syntax, structure, or logic between the two snippets, they are functionally similar.""
}",
InfixConverter,0_orig,InfixConverter,1_artifice,CLONE,2026-08-09 11:31:31,"ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are functionally similar. Snippet 1 is a standard Java implementation of an infix-to-postfix converter with helper methods for reading input. Snippet 2 appears to be a decompiled or obfuscated version of the same code (or a very similar variant), using generic variable names like `v0`, `v1`, etc., for variables and `m00`, `m10`, `m20` for method names. However, the logic within the methods remains identical:
1.  **Input Reading**: Both `ReadString` (Snippet 1) and `m00` (Snippet 2) read a line from standard input. Both `ReadInteger` (Snippet 1) and `m10` (Snippet 2) read an integer.
2.  **Core Logic**: The `InfixToPostfixConvert` method in Snippet 1 and the `m20` method in Snippet 2 perform the exact same infix-to-postfix conversion. They use a stack, iterate through the input string, handle operators (`+`, `-`, `*`, `/`) based on priority, and output operands directly. The control flow for handling operator precedence and stack operations is identical.
3.  **Main Method**: Both `main` methods check if a command-line argument is provided. If so, they process that argument; otherwise, they process three hardcoded test cases (""a+b*c"", ""a+b*c/d-e"", ""a+b*c/d-e+f*h/i+j-k"").

Since both snippets achieve the same task with equivalent logic, they are functionally similar.

```json
{
    ""answer"": ""YES-SIMILAR"",
    ""explanation"": ""The two code snippets are functionally similar. Snippet",
InfixConverter,0_orig,InfixConverter,test_0_orig_no_krakatau,CLONE,2026-08-09 11:31:39,"ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are functionally similar. Both snippets represent the same Java class `InfixConverter` which performs the task of converting infix expressions to postfix notation. 

1. **Core Logic**: The `InfixToPostfixConvert` method in both snippets implements the same algorithm (Shunting-yard algorithm variant) using a stack to handle operators and operands. Snippet 2 appears to be a decompiled or obfuscated version of Snippet 1 (or vice versa), using explicit labels and `StringBuilder` concatenation, but the underlying logic for processing characters, handling operator precedence, and outputting the result is identical.
2. **Input/Output**: Both snippets include methods `ReadString` and `ReadInteger` to read from `System.in`, though they are largely unused in the `main` method logic.
3. **Main Method**: Both `main` methods check for command-line arguments. If an argument is provided, it processes it; otherwise, it processes a hardcoded set of test strings (`""a+b*c""`, `""a+b*c/d-e""`, `""a+b*c/d-e+f*h/i+j-k""`). The output format and test cases are identical.

Therefore, they achieve the same result and perform the same task.

ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are functionally similar. Both snippets represent the same Java class `InfixConverter` which performs the task of converting infix expressions to postfix notation. The core logic in `InfixToPostfixConvert` is algorithmically identical, despite Snippet 2 appearing to be a decompiled or obfuscated version that uses explicit labels and `StringBuilder` concatenation. The `main` method in both snippets handles command-line arguments identically and processes the same hardcoded test cases if no arguments",
InfixConverter,0_orig,InfixConverter,test_0_orig_no_procyon,CLONE,2026-08-09 11:31:42,"{
    ""answer"": ""YES-SIMILAR"",
    ""explanation"": ""Both code snippets define a class `InfixConverter` that performs the exact same task: converting infix expressions to postfix notation using a stack-based algorithm. The logic for handling operators, operands, and the main method's test cases (both with command-line arguments and hardcoded strings) is functionally identical. The differences are purely syntactic, involving variable naming conventions, code structure (e.g., using `final` keywords, more concise method chaining for reading input), and formatting. The core algorithm and the resulting output for any given input are the same.""
}",
InfixConverter,0_orig,InfixConverter,test_0_orig_pg_krakatau,CLONE,2026-08-09 11:31:47,"ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are functionally similar. Both snippets define a class `InfixConverter` that contains logic to convert an infix expression string into a postfix (or result) string using a stack-based algorithm. 

In Code Snippet 1, this is implemented as `InfixToPostfixConvert`. In Code Snippet 2, it is implemented as the static method `a`. The core logic in both snippets iterates through the input string, handling operators (+, -, *, /) with priority checks and pushing/popping from a stack, while appending operands to a result string. The control flow for the stack operations (checking priority of top-of-stack operator vs current operator) is equivalent, despite the obfuscated style of Snippet 2.

The `main` methods in both snippets also perform the same task: they accept a command-line argument or default to specific test strings (""a+b*c"", etc.) and print the infix and converted postfix strings. The output behavior and the algorithmic logic for the conversion are identical.

Therefore, the answer is YES-SIMILAR.",
InfixConverter,0_orig,InfixConverter,test_0_orig_pg_procyon,CLONE,2026-08-09 11:31:54,"ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are functionally similar. Both snippets implement a class `InfixConverter` that converts infix expressions to postfix notation using a stack-based algorithm. 

1. **Core Logic**: The `InfixToPostfixConvert` method in Snippet 1 and the method `a` in Snippet 2 perform the exact same algorithm: iterating through the input string, handling operators ('+', '-', '*', '/') with specific precedence rules, and using a stack to manage operator precedence. The logic for pushing and popping from the stack, as well as the handling of operands, is identical in both snippets.

2. **Main Method Behavior**: The `main` method in Snippet 1 checks if an argument is provided; if so, it processes that argument. Otherwise, it processes a hardcoded set of test cases (""a+b*c"", ""a+b*c/d-e"", ""a+b*c/d-e+f*h/i+j-k""). Snippet 2's `main` method performs the exact same logic: it checks for a command-line argument, and if none is present, it processes the same hardcoded test cases in the same order.

3. **Differences**: Snippet 1 includes helper methods `ReadString` and `ReadInteger` which are unused in the provided `main` method context. Snippet 2 uses obfuscated variable names (e.g., `a` for the conversion function) and lacks the unused helper methods. However, the core functionality being exercised—the conversion of specific infix strings to postfix strings—is identical.

Therefore, they are functionally similar.

ANSWER: YES-SIMILAR
EXPLANATION: Both code snippets implement the same algorithm for converting infix expressions to postfix notation. They share identical logic for operator precedence, stack management, and the sequence of test cases executed in the `",
InfixConverter,0_orig,InfixConverter,test_1_artifice_no_krakatau,CLONE,2026-08-09 11:32:02,"ANSWER: YES-SIMILAR
EXPLANATION: Both code snippets implement the same functionality: converting infix expressions to postfix expressions. 

1. **Core Logic**: Both snippets contain a method (`InfixToPostfixConvert` in Snippet 1, `m20` in Snippet 2) that takes a string input and returns a converted string. The logic involves iterating through characters, handling operators (+, -, *, /) with a stack, and managing operator precedence. The underlying algorithm for the conversion is identical.

2. **I/O Handling**: Both snippets include methods for reading input (`ReadString`/`m00` and `ReadInteger`/`m10`) which use `BufferedReader` on `System.in`. While Snippet 2 uses obfuscated variable names and control structures (labels/breaks), the functional behavior of reading input and handling exceptions is the same.

3. **Main Method**: Both `main` methods check for command-line arguments. If an argument is provided, it uses it; otherwise, it runs a hardcoded test suite with specific infix strings (`""a+b*c""`, `""a+b*c/d-e""`, `""a+b*c/d-e+f*h/i+j-k""`). The output format and the specific test cases are identical.

Snippet 2 appears to be decompiled or obfuscated code (using labels like `label7`, `label8` for if-statements, and generic method names like `m20`), but functionally it performs the exact same task as Snippet 1.

Format:
ANSWER: YES-SIMILAR
EXPLANATION: The two code snippets are functionally similar. Snippet 2 appears to be an obfuscated or decompiled version of Snippet 1. Both snippets implement an infix-to-postfix converter using a stack, handle operators",
InfixConverter,0_orig,InfixConverter,test_1_artifice_no_procyon,CLONE,2026-08-09 11:32:08,"{
    ""answer"": ""YES-SIMILAR"",
    ""explanation"": ""Both code snippets implement the same Java class 'InfixConverter' which performs the same task: converting an infix expression to a postfix (RPN) expression. \n\n1. **Input Methods**: Both snippets contain methods to read a string (`ReadString`/`m00`) and an integer (`ReadInteger`/`m10`) from `System.in`. The logic inside these methods is functionally identical, just with different variable names and slightly more concise syntax in the second snippet.\n\n2. **Core Logic**: The main conversion logic resides in `InfixToPostfixConvert` (Snippet 1) and `m20` (Snippet 2). Both methods use a stack-based approach to parse the input string character by character. They handle operators (`+`, `-`, `*`, `/`) with similar priority checks and stack manipulation logic. Although the variable names differ (`s1` vs `stack`, `infixBuffer` vs `s`, etc.), the algorithmic steps are identical.\n\n3. **Main Method**: Both `main` methods check for command-line arguments. If arguments are present, they process the argument; otherwise, they process a hardcoded set of test cases (`a+b*c`, `a+b*c/d-e`, `a+b*c/d-e+f*h/i+j-k`). The output format and the specific test cases are exactly the same.\n\nTherefore, the snippets are functionally similar.""
}",
InfixConverter,0_orig,InfixConverter,test_1_artifice_pg_krakatau,CLONE,2026-08-09 11:32:14,"ANSWER: YES-SIMILAR
EXPLANATION: Both code snippets implement the exact same logic for converting infix expressions to postfix notation. 

Code Snippet 1 is written in standard, readable Java. It defines a class `InfixConverter` with a method `InfixToPostfixConvert` that uses a stack to process operators (+, -, *, /) and operands. The `main` method handles command-line arguments or defaults to specific test strings (""a+b*c"", etc.).

Code Snippet 2 appears to be decompiled or obfuscated code of the same program. The method `a` (which corresponds to `InfixToPostfixConvert`) uses low-level integer checks for ASCII characters (43 for '+', 45 for '-', 42 for '*', 47 for '/') and complex labeled blocks to replicate the operator precedence logic found in Snippet 1. The `main` method in Snippet 2 mirrors the structure of Snippet 1's `main` method, checking `args.length` and processing the same default strings if no argument is provided. The underlying algorithm and input/output behavior are identical, despite the syntactic differences caused by decompilation/obfuscation techniques. Therefore, they are functionally similar.",
InfixConverter,0_orig,InfixConverter,test_1_artifice_pg_procyon,CLONE,2026-08-09 11:32:16,"{
    ""answer"": ""YES-SIMILAR"",
    ""explanation"": ""Both code snippets implement the same logic for converting infix expressions to postfix notation using a stack-based algorithm. The first snippet contains a more verbose implementation with separate methods for reading input, while the second snippet is obfuscated/minified but functionally identical in its core algorithm and test cases. Both snippets handle the same operator precedence rules and produce the same output for the same inputs.""
}",
