pair_id,label,file1,file2,lang1,lang2,problem1,problem2
0,1,103399.java,99825.cpp,java,cpp,2013_0_1,2013_0_1
1,1,99825.cpp,125888.py,cpp,py,2013_0_1,2013_0_1
2,1,125888.py,84842.php,py,php,2013_0_1,2013_0_1
3,1,84842.php,103399.java,php,java,2013_0_1,2013_0_1
4,1,49244.java,98087.cpp,java,cpp,2013_0_1,2013_0_1
5,1,98087.cpp,91336.py,cpp,py,2013_0_1,2013_0_1
6,1,91336.py,102913.php,py,php,2013_0_1,2013_0_1
7,1,102913.php,49244.java,php,java,2013_0_1,2013_0_1
8,1,126886.java,72071.cpp,java,cpp,2013_0_1,2013_0_1
9,1,72071.cpp,70537.py,cpp,py,2013_0_1,2013_0_1
10,1,70537.py,127485.php,py,php,2013_0_1,2013_0_1
11,1,127485.php,126886.java,php,java,2013_0_1,2013_0_1
12,1,95524.java,83774.cpp,java,cpp,2013_0_2,2013_0_2
13,1,83774.cpp,78034.py,cpp,py,2013_0_2,2013_0_2
14,1,78034.py,71957.php,py,php,2013_0_2,2013_0_2
15,1,71957.php,95524.java,php,java,2013_0_2,2013_0_2
16,1,44471.java,140779.cpp,java,cpp,2013_0_2,2013_0_2
17,1,140779.cpp,122219.py,cpp,py,2013_0_2,2013_0_2
18,1,122219.py,96711.php,py,php,2013_0_2,2013_0_2
19,1,96711.php,44471.java,php,java,2013_0_2,2013_0_2
20,1,55421.java,91409.cpp,java,cpp,2013_0_2,2013_0_2
21,1,91409.cpp,85165.py,cpp,py,2013_0_2,2013_0_2
22,1,85165.py,68303.php,py,php,2013_0_2,2013_0_2
23,1,68303.php,55421.java,php,java,2013_0_2,2013_0_2
24,1,108834.java,102625.cpp,java,cpp,2013_0_3,2013_0_3
25,1,102625.cpp,102207.py,cpp,py,2013_0_3,2013_0_3
26,1,102207.py,89287.php,py,php,2013_0_3,2013_0_3
27,1,89287.php,108834.java,php,java,2013_0_3,2013_0_3
28,1,59317.java,81195.cpp,java,cpp,2013_0_3,2013_0_3
29,1,81195.cpp,51164.py,cpp,py,2013_0_3,2013_0_3
30,1,51164.py,92037.php,py,php,2013_0_3,2013_0_3
31,1,92037.php,59317.java,php,java,2013_0_3,2013_0_3
32,1,74156.java,53348.cpp,java,cpp,2013_0_3,2013_0_3
33,1,53348.cpp,70289.py,cpp,py,2013_0_3,2013_0_3
34,1,70289.py,132829.php,py,php,2013_0_3,2013_0_3
35,1,132829.php,74156.java,php,java,2013_0_3,2013_0_3
36,1,42047.java,28766.cpp,java,cpp,2013_1_1,2013_1_1
37,1,28766.cpp,37029.py,cpp,py,2013_1_1,2013_1_1
38,1,37029.py,34507.php,py,php,2013_1_1,2013_1_1
39,1,34507.php,42047.java,php,java,2013_1_1,2013_1_1
40,1,30835.java,30228.cpp,java,cpp,2013_1_1,2013_1_1
41,1,30228.cpp,32497.py,cpp,py,2013_1_1,2013_1_1
42,1,32497.py,39026.php,py,php,2013_1_1,2013_1_1
43,1,39026.php,30835.java,php,java,2013_1_1,2013_1_1
44,1,32414.java,30618.cpp,java,cpp,2013_1_1,2013_1_1
45,1,30618.cpp,30519.py,cpp,py,2013_1_1,2013_1_1
46,1,30519.py,31779.php,py,php,2013_1_1,2013_1_1
47,1,31779.php,32414.java,php,java,2013_1_1,2013_1_1
48,1,115757.java,131278.cpp,java,cpp,2014_2_1,2014_2_1
49,1,131278.cpp,128920.py,cpp,py,2014_2_1,2014_2_1
50,1,128920.py,118754.php,py,php,2014_2_1,2014_2_1
51,1,118754.php,115757.java,php,java,2014_2_1,2014_2_1
52,1,129296.java,119165.cpp,java,cpp,2014_2_1,2014_2_1
53,1,119165.cpp,118416.py,cpp,py,2014_2_1,2014_2_1
54,1,118416.py,116147.php,py,php,2014_2_1,2014_2_1
55,1,116147.php,129296.java,php,java,2014_2_1,2014_2_1
56,1,131873.java,118489.cpp,java,cpp,2014_2_1,2014_2_1
57,1,118489.cpp,121201.py,cpp,py,2014_2_1,2014_2_1
58,1,121201.py,114208.php,py,php,2014_2_1,2014_2_1
59,1,114208.php,131873.java,php,java,2014_2_1,2014_2_1
60,1,135560.java,138308.cpp,java,cpp,2014_3_1,2014_3_1
61,1,138308.cpp,139209.py,cpp,py,2014_3_1,2014_3_1
62,1,139209.py,142092.php,py,php,2014_3_1,2014_3_1
63,1,142092.php,135560.java,php,java,2014_3_1,2014_3_1
64,1,138333.java,134611.cpp,java,cpp,2014_3_1,2014_3_1
65,1,134611.cpp,139370.py,cpp,py,2014_3_1,2014_3_1
66,1,139370.py,134295.php,py,php,2014_3_1,2014_3_1
67,1,134295.php,138333.java,php,java,2014_3_1,2014_3_1
