program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,84294,2013_0_1,58633,CLONE,2026-08-03 05:51:23,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",0
2013_0_1,84294,2013_0_1,124149,CLONE,2026-08-03 05:51:25,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",1
2013_0_1,84294,2013_0_1,88116,CLONE,2026-08-03 05:51:28,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",2
2013_0_1,84294,2013_0_1,124226,CLONE,2026-08-03 05:51:30,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",3
2013_0_1,58633,2013_0_1,124149,CLONE,2026-08-03 05:51:34,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",4
2013_0_1,58633,2013_0_1,88116,CLONE,2026-08-03 05:51:36,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",5
2013_0_1,58633,2013_0_1,124226,CLONE,2026-08-03 05:51:39,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",6
2013_0_1,124149,2013_0_1,88116,CLONE,2026-08-03 05:51:42,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",7
2013_0_1,124149,2013_0_1,124226,CLONE,2026-08-03 05:51:44,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",8
2013_0_1,88116,2013_0_1,124226,CLONE,2026-08-03 05:51:48,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",9
2013_0_2,95524,2013_0_2,44471,CLONE,2026-08-03 05:51:51,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",10
2013_0_2,95524,2013_0_2,55421,CLONE,2026-08-03 05:51:54,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",11
2013_0_2,95524,2013_0_2,90919,CLONE,2026-08-03 05:51:56,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",12
2013_0_2,95524,2013_0_2,114653,CLONE,2026-08-03 05:51:58,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",13
2013_0_2,44471,2013_0_2,55421,CLONE,2026-08-03 05:52:02,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",14
2013_0_2,44471,2013_0_2,90919,CLONE,2026-08-03 05:52:04,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",15
2013_0_2,44471,2013_0_2,114653,CLONE,2026-08-03 05:52:06,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",16
2013_0_2,55421,2013_0_2,90919,CLONE,2026-08-03 05:52:09,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",17
2013_0_2,55421,2013_0_2,114653,CLONE,2026-08-03 05:52:11,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",18
