program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
InfixConverter,0_orig,InfixConverter,0_orig,CLONE,2026-08-08 20:01:17,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""The two code snippets are identical. They contain the exact same class structure, method implementations, variable names, logic for converting infix expressions to postfix notation, and main method execution flow. Therefore, they are functionally similar.""
}",
InfixConverter,0_orig,InfixConverter,1_artifice,CLONE,2026-08-08 20:01:23,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""The two code snippets are functionally identical. Snippet 2 appears to be a decompiled or obfuscated version of Snippet 1. The class name `InfixConverter` and the overall structure (imports, methods for reading input, converting infix to postfix, and the main method logic) are preserved. Specifically: 1. The helper methods `ReadString` and `ReadInteger` in Snippet 1 are renamed to `m00` and `m10` in Snippet 2, but their internal logic for reading from `System.in` is exactly the same. 2. The core logic `InfixToPostfixConvert` in Snippet 1 is implemented as `m20` in Snippet 2. Although Snippet 2 uses a `while` loop instead of a `for` loop and uses generic variable names (e.g., `v7`, `v8`, `v9`), the algorithm for converting infix expressions to postfix using a stack, including operator precedence handling and stack clearing at the end, is logically equivalent. 3. The `main` method in both snippets follows the same control flow: checking command-line arguments, and if none are provided, running three specific test cases (`\""a+b*c\""`, `\""a+b*c/d-e\""`, `\""a+b*c/d-e+f*h/i+j-k\""`) and printing the results in the exact same format.""
}",
InfixConverter,0_orig,InfixConverter,test_0_orig_no_krakatau,CLONE,2026-08-08 20:01:28,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same functionality: converting an infix arithmetic expression string to a postfix (Reverse Polish Notation) string. They share identical class and method names (`InfixConverter`, `ReadString`, `ReadInteger`, `InfixToPostfixConvert`). The core logic in `InfixToPostfixConvert` follows the standard Shunting-yard algorithm using a stack to manage operator precedence (multiplication/division vs addition/subtraction). Although Snippet 2 uses decompiled-style code with labels, integer character codes (ASCII values like 43 for '+'), and verbose StringBuilder concatenations, it performs the exact same steps: iterating through the input, pushing operators to the stack based on precedence rules, appending operands to the output, and finally popping remaining operators. The `main` method in both snippets also exhibits identical behavior: if a command-line argument is provided, it processes that argument; otherwise, it processes three hardcoded test cases ('a+b*c', 'a+b*c/d-e', 'a+b*c/d-e+f*h/i+j-k') and prints the results in the same format. Therefore, they are functionally similar.""
}",
InfixConverter,0_orig,InfixConverter,test_0_orig_no_procyon,CLONE,2026-08-08 20:01:32,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same class `InfixConverter` with identical functionality. They both contain helper methods `ReadString` and `ReadInteger` that read input from `System.in` (with minor syntactic differences in how the `BufferedReader` is instantiated, but functionally equivalent). The core logic resides in the `InfixToPostfixConvert` method, which converts an infix arithmetic expression string to a postfix (Reverse Polish Notation) string. Although there are slight differences in variable naming (e.g., `infixBuffer` vs `s`, `postfixBuffer` vs `s2`) and code structure (e.g., explicit priority calculation vs. nested conditionals for operator precedence), the algorithmic logic for handling operators (`+`, `-`, `*`, `/`) and operands is identical. Both snippets use a `Stack` to manage operator precedence and produce the same output format in the `main` method, testing the same set of example strings (`a+b*c`, `a+b*c/d-e`, etc.). Therefore, they are functionally similar.""
}",
InfixConverter,0_orig,InfixConverter,test_0_orig_pg_krakatau,CLONE,2026-08-08 20:01:39,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same algorithm to convert an infix arithmetic expression to a postfix expression (Reverse Polish Notation). \n\n1. **Core Logic**: Both use a stack to manage operators and a string buffer for the output. They iterate through the input string character by character.\n2. **Operator Handling**: Both identify the operators `+`, `-`, `*`, `/` (Snippet 2 uses their ASCII values 43, 45, 42, 47 respectively). Both implement a priority system where `*` and `/` have higher precedence (priority 1) than `+` and `-` (priority 0).\n3. **Algorithm Steps**: \n   - If the current character is an operand, it is appended to the output.\n   - If the current character is an operator:\n     - If the stack is empty, the operator is pushed.\n     - If the stack is not empty, the top operator is checked. If the top operator has higher or equal precedence (specifically `*` or `/` vs `+` or `-` in the logic provided), it is popped to the output, and the current index is decremented in Snippet 1 (or the loop effectively retries the current character in Snippet 2 via `i = i + -1`) to ensure correct order. \n     - If the current operator has higher precedence or the stack is empty, it is pushed.\n   - After processing the string, remaining operators in the stack are popped to the output.\n4. **Main Function**: Both `main` methods accept an optional command-line argument. If provided, they convert that string. If not, they demonstrate the conversion with three hardcoded test cases: `a+b*c",
InfixConverter,0_orig,InfixConverter,test_0_orig_pg_procyon,CLONE,2026-08-08 20:01:45,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same functionality: converting an infix arithmetic expression to a postfix expression (Reverse Polish Notation). \n\n1. **Core Logic**: Both use the Shunting-yard algorithm variant using a Stack. They iterate through the input string, pushing operands directly to the output string and handling operators ('+', '-', '*', '/') based on precedence. The logic for handling operator precedence (checking if the top of the stack is '*' or '/') and popping/pushing operators is identical in structure and outcome between the two snippets.\n2. **Input/Output**: Both programs accept an infix string either via command-line arguments or default hardcoded test cases ('a+b*c', 'a+b*c/d-e', 'a+b*c/d-e+f*h/i+j-k'). They both print the original infix string and the resulting postfix string in the exact same format.\n3. **Differences**: Snippet 1 includes helper methods `ReadString` and `ReadInteger` for reading from System.in, but these are not used in the `main` method's execution flow for the conversion task; the `main` method relies on `args` or hardcoded strings just like Snippet 2. Snippet 2 uses a private method `a` for the conversion logic, while Snippet 1 uses a public static method `InfixToPostfixConvert`. Snippet 2 uses generic types for the Stack, while Snippet 1 uses raw types. These are syntactic and structural differences, not functional ones. The core conversion logic and the program's behavior for the given inputs are functionally identical.""
}",
InfixConverter,0_orig,InfixConverter,test_1_artifice_no_krakatau,CLONE,2026-08-08 20:01:52,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement a Java class named `InfixConverter` designed to convert infix mathematical expressions to postfix notation (Reverse Polish Notation). \n\n1. **Input Handling**: Both snippets include methods to read strings and integers from standard input (`ReadString`/`ReadInteger` in Snippet 1 vs `m00`/`m10` in Snippet 2). These methods are functionally identical, using `BufferedReader` and `InputStreamReader`.\n\n2. **Core Logic**: \n   - Snippet 1 uses a method `InfixToPostfixConvert` which iterates through the input string, using a `Stack` to manage operator precedence. It checks for operators (`+`, `-`, `*`, `/`) and operands. If an operator is encountered, it compares its precedence with the operator at the top of the stack. If the stack top has higher or equal precedence (specifically `*` or `/` vs `+` or `-`), it pops the operator to the output string. Otherwise, it pushes the current operator. Finally, it empties the stack into the output string.\n   - Snippet 2 uses a method `m20` which performs the exact same algorithm. It uses integer character codes (e.g., `43` for `+`, `42` for `*`) instead of character literals, which is a common result of code obfuscation or decompilation. The control flow logic regarding precedence checking (checking if stack top is `*` or `/`) and pushing/popping operations mirrors Snippet 1 exactly. \n\n3. **Main Method**: Both `main` methods check if a command-line argument is provided. If not, they test the converter",
InfixConverter,0_orig,InfixConverter,test_1_artifice_no_procyon,CLONE,2026-08-08 20:01:58,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""The two code snippets are functionally similar. Both implement a Java class `InfixConverter` that converts infix arithmetic expressions to postfix notation using the Shunting-yard algorithm (or a variation of it) with a Stack. \n\n1. **Helper Methods**: `ReadString`/`ReadInteger` in Snippet 1 are equivalent to `m00`/`m10` in Snippet 2. They both read input from `System.in` using `BufferedReader` and `InputStreamReader`, handling exceptions identically.\n2. **Core Logic**: `InfixToPostfixConvert` in Snippet 1 and `m20` in Snippet 2 perform the exact same algorithm. They iterate through the input string, pushing operands to the output buffer, and managing operators in a stack based on precedence (`*` and `/` having higher priority than `+` and `-`). The control flow for precedence checks and stack operations is logically identical, despite minor variable naming differences and structural simplifications in Snippet 2.\n3. **Main Execution**: The `main` method in both snippets handles command-line arguments similarly. If an argument is provided, it converts that string; otherwise, it runs three hardcoded test cases (`a+b*c`, `a+b*c/d-e`, `a+b*c/d-e+f*h/i+j-k`) and prints the results in the same format.\n\nTherefore, despite differences in variable names, method names, and code style (e.g., explicit variable declarations vs. inline instantiation), the functional behavior and output are identical.""
}",
InfixConverter,0_orig,InfixConverter,test_1_artifice_pg_krakatau,CLONE,2026-08-08 20:02:04,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same functionality: converting an infix mathematical expression string into a postfix (Reverse Polish Notation) string. \n\n1. **Core Logic**: Snippet 1 uses a standard `for` loop with a `Stack` to process operators (+, -, *, /) and operands. It handles operator precedence by checking the top of the stack and popping higher or equal precedence operators before pushing the current one. Snippet 2 uses a `while` loop with nested labels (likely decompiled or obfuscated code) but performs the exact same logic: it iterates through the string, checks for operators (using ASCII codes 43, 45, 42, 47), manages a stack for operator precedence, and builds the output string. The complex label structure in Snippet 2 corresponds to the conditional branches (`if/else`) in Snippet 1.\n\n2. **Input/Output**: Both snippets handle input similarly. If a command-line argument is provided, they process that string. If not, they default to testing three specific hardcoded expressions: `\""a+b*c\""`, `\""a+b*c/d-e\""`, and `\""a+b*c/d-e+f*h/i+j-k\""`. \n\n3. **Output Format**: Both print the results in the same format: `\""InFix  :\\t\"" + input` followed by `\""PostFix:\\t\"" + output`. \n\nDespite differences in syntax (Snippet 1 is readable source code, Snippet 2 appears to be decompiled bytecode with obfuscated variable names and control flow via labels), the functional behavior is identical.""
}",
InfixConverter,0_orig,InfixConverter,test_1_artifice_pg_procyon,CLONE,2026-08-08 20:02:07,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the same algorithm to convert an infix arithmetic expression to a postfix expression (Reverse Polish Notation). They both use a stack to manage operators based on precedence (*, / have higher precedence than +, -). The core logic for iterating through the string, handling operands, and managing operator precedence on the stack is identical. While Snippet 1 includes helper methods for reading input from System.in and uses raw types, and Snippet 2 is more concise with generic types and omits the input reading methods (relying solely on command-line arguments or hardcoded examples), the primary functional task of converting infix to postfix is performed in the exact same way in both. The main method logic for testing specific examples is also identical in outcome.""
}",
