file,rows_total,rows_evaluated,rows_excluded,TP,FP,FN,TN,accuracy,precision,recall,f1,mcc,run_time
"results_codellama_7b_q4km_aizu_lora (majority vote, 5 rounds)",384,384,0,158,14,34,178,0.875,0.9186,0.8229,0.8681,0.7541,00:03:43
"results_codellama__CodeLlama-7b-Instruct-hf (majority vote, 5 rounds)",384,325,59,183,142,0,0,0.5631,0.5631,1.0,0.7205,0.0,00:12:00
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q2_K.gguf (majority vote, 5 rounds)",384,384,0,192,192,0,0,0.5,0.5,1.0,0.6667,0.0,00:05:52
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q3_K_M.gguf (majority vote, 5 rounds)",384,364,20,190,174,0,0,0.522,0.522,1.0,0.6859,0.0,00:05:56
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q4_K_M.gguf (majority vote, 5 rounds)",384,375,9,192,183,0,0,0.512,0.512,1.0,0.6772,0.0,00:07:27
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q2_K.gguf (majority vote, 5 rounds)",384,384,0,188,45,4,147,0.8724,0.8069,0.9792,0.8847,0.7624,00:18:12
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q3_K_M.gguf (majority vote, 5 rounds)",384,384,0,188,47,4,145,0.8672,0.8,0.9792,0.8806,0.7535,00:17:00
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q4_K_M.gguf (majority vote, 5 rounds)",384,384,0,187,34,5,158,0.8984,0.8462,0.974,0.9056,0.8061,00:13:32
"results_original_mistralai__Codestral-22B-v0.1 (majority vote, 5 rounds)",384,384,0,182,24,10,168,0.9115,0.8835,0.9479,0.9146,0.8251,00:22:53
"results_deepseek_coder_v2_lite (majority vote, 5 rounds)",384,384,0,164,17,28,175,0.8828,0.9061,0.8542,0.8794,0.7669,00:35:08
"results_deepseek_coder_v2_lite_q4km (majority vote, 5 rounds)",384,384,0,160,17,32,175,0.8724,0.904,0.8333,0.8672,0.7471,00:04:04
"results_gguf_llama4_scout_Q2_K (majority vote, 5 rounds)",384,384,0,184,3,8,189,0.9714,0.984,0.9583,0.971,0.943,00:16:15
"results_gguf_llama4_scout_Q3_K_S (majority vote, 5 rounds)",384,384,0,183,3,9,189,0.9688,0.9839,0.9531,0.9683,0.938,00:16:41
"results_gguf_llama4_scout_Q4_K_M (majority vote, 5 rounds)",384,384,0,182,3,10,189,0.9661,0.9838,0.9479,0.9655,0.9329,00:15:03
"results_original_meta-llama__Llama-4-Scout-17B-16E-Instruct (majority vote, 5 rounds)",384,384,0,185,4,7,188,0.9714,0.9788,0.9635,0.9711,0.9428,01:11:02
"results_ISTA-DASLab__Meta-Llama-3.1-8B-Instruct-AQLM-PV-2Bit-1x16-hf (majority vote, 5 rounds)",384,384,0,192,188,0,4,0.5104,0.5053,1.0,0.6713,0.1026,00:28:25
