Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (27748 already done, 22252 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (7748 done, 2252 remaining) ---
[27749/50000] 2026-06-28 11:55:57 | R3 | railroadcar/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[27750/50000] 2026-06-28 11:55:57 | R3 | railroadcar/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[27751/50000] 2026-06-28 11:55:58 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/0_orig → NON-CLONE
[27752/50000] 2026-06-28 11:55:59 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/1_artifice → NON-CLONE
[27753/50000] 2026-06-28 11:56:00 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[27754/50000] 2026-06-28 11:56:00 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[27755/50000] 2026-06-28 11:56:01 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[27756/50000] 2026-06-28 11:56:02 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[27757/50000] 2026-06-28 11:56:02 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[27758/50000] 2026-06-28 11:56:03 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[27759/50000] 2026-06-28 11:56:04 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[27760/50000] 2026-06-28 11:56:05 | R3 | railroadcar/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[27761/50000] 2026-06-28 11:56:05 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/0_orig → NON-CLONE
[27762/50000] 2026-06-28 11:56:06 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/1_artifice → NON-CLONE
[27763/50000] 2026-06-28 11:56:06 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[27764/50000] 2026-06-28 11:56:07 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[27765/50000] 2026-06-28 11:56:08 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[27766/50000] 2026-06-28 11:56:08 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[27767/50000] 2026-06-28 11:56:09 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[27768/50000] 2026-06-28 11:56:09 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[27769/50000] 2026-06-28 11:56:10 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[27770/50000] 2026-06-28 11:56:11 | R3 | railroadcar/test_1_artifice_no_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[27771/50000] 2026-06-28 11:56:11 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/0_orig → CLONE
[27772/50000] 2026-06-28 11:56:12 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/1_artifice → CLONE
[27773/50000] 2026-06-28 11:56:13 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_0_orig_no_krakatau → CLONE
[27774/50000] 2026-06-28 11:56:14 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_0_orig_no_procyon → CLONE
[27775/50000] 2026-06-28 11:56:14 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_0_orig_pg_krakatau → CLONE
[27776/50000] 2026-06-28 11:56:15 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_0_orig_pg_procyon → CLONE
[27777/50000] 2026-06-28 11:56:16 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_no_krakatau → CLONE
[27778/50000] 2026-06-28 11:56:17 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_no_procyon → CLONE
[27779/50000] 2026-06-28 11:56:18 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_pg_krakatau → CLONE
[27780/50000] 2026-06-28 11:56:18 | R3 | railroadcar/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_pg_procyon → CLONE
[27781/50000] 2026-06-28 11:56:19 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/0_orig → NON-CLONE
[27782/50000] 2026-06-28 11:56:20 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/1_artifice → NON-CLONE
[27783/50000] 2026-06-28 11:56:20 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[27784/50000] 2026-06-28 11:56:21 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[27785/50000] 2026-06-28 11:56:21 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[27786/50000] 2026-06-28 11:56:22 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[27787/50000] 2026-06-28 11:56:23 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[27788/50000] 2026-06-28 11:56:24 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[27789/50000] 2026-06-28 11:56:24 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[27790/50000] 2026-06-28 11:56:25 | R3 | railroadcar/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[27791/50000] 2026-06-28 11:56:26 | R3 | railroadcar/test_1_artifice_no_procyon vs square/0_orig → NON-CLONE
[27792/50000] 2026-06-28 11:56:26 | R3 | railroadcar/test_1_artifice_no_procyon vs square/1_artifice → NON-CLONE
[27793/50000] 2026-06-28 11:56:27 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[27794/50000] 2026-06-28 11:56:28 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[27795/50000] 2026-06-28 11:56:29 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[27796/50000] 2026-06-28 11:56:29 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[27797/50000] 2026-06-28 11:56:30 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[27798/50000] 2026-06-28 11:56:31 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[27799/50000] 2026-06-28 11:56:31 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[27800/50000] 2026-06-28 11:56:32 | R3 | railroadcar/test_1_artifice_no_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[27801/50000] 2026-06-28 11:56:33 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/0_orig → NON-CLONE
[27802/50000] 2026-06-28 11:56:33 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/1_artifice → NON-CLONE
[27803/50000] 2026-06-28 11:56:34 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[27804/50000] 2026-06-28 11:56:35 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[27805/50000] 2026-06-28 11:56:35 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[27806/50000] 2026-06-28 11:56:36 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[27807/50000] 2026-06-28 11:56:37 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[27808/50000] 2026-06-28 11:56:37 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[27809/50000] 2026-06-28 11:56:38 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[27810/50000] 2026-06-28 11:56:39 | R3 | railroadcar/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[27811/50000] 2026-06-28 11:56:39 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[27812/50000] 2026-06-28 11:56:40 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[27813/50000] 2026-06-28 11:56:41 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[27814/50000] 2026-06-28 11:56:41 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[27815/50000] 2026-06-28 11:56:42 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[27816/50000] 2026-06-28 11:56:43 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
