file_id,problem,lan,file,lines
103399,2013_0_1,java,KnapSack.java,195
49244,2013_0_1,java,Game.java,137
126886,2013_0_1,java,TicTacToeTomek.java,178
99825,2013_0_1,cpp,codeJAMTICKTOCK.cpp,126
98087,2013_0_1,cpp,google codjam qual a.cpp,114
72071,2013_0_1,cpp,A.cpp,112
125888,2013_0_1,py,tttt.py,55
91336,2013_0_1,py,solve.py,71
70537,2013_0_1,py,codejam-2013-qualification-A.py,50
84842,2013_0_1,php,tictactoe.php,48
102913,2013_0_1,php,tictactoetomek.php,123
127485,2013_0_1,php,gcode.php,107
95524,2013_0_2,java,ProblemB.java,101
44471,2013_0_2,java,Main.java,104
55421,2013_0_2,java,Lawnmower.java,101
83774,2013_0_2,cpp,b.cpp,48
140779,2013_0_2,cpp,B.cpp,50
91409,2013_0_2,cpp,main.cpp,75
78034,2013_0_2,py,b.py,39
122219,2013_0_2,py,lawnmower.py,39
85165,2013_0_2,py,lawn.py,84
71957,2013_0_2,php,B.php,68
96711,2013_0_2,php,b.php,62
68303,2013_0_2,php,problemB.php,40
108834,2013_0_3,java,Q3.java,417
59317,2013_0_3,java,Main.java,95
74156,2013_0_3,java,countSquarePalindromes.java,63
102625,2013_0_3,cpp,palindromes.cpp,63
81195,2013_0_3,cpp,fairandsquare.cpp,95
53348,2013_0_3,cpp,C.cpp,177
102207,2013_0_3,py,run.py,60
51164,2013_0_3,py,FairSquareSmall.py,24
70289,2013_0_3,py,fair_and_square.py,65
89287,2013_0_3,php,c.php,63
92037,2013_0_3,php,codejam.php,62
132829,2013_0_3,php,Problem3.php,63
42047,2013_1_1,java,Bullseye.java,95
30835,2013_1_1,java,a.java,41
32414,2013_1_1,java,A.java,61
28766,2013_1_1,cpp,A.cpp,77
30228,2013_1_1,cpp,1.cpp,39
30618,2013_1_1,cpp,1.cpp,48
37029,2013_1_1,py,1.py,50
32497,2013_1_1,py,bullseye.py,51
30519,2013_1_1,py,A.py,36
34507,2013_1_1,php,q1.php,52
39026,2013_1_1,php,A.php,69
31779,2013_1_1,php,a.php,25
115757,2014_2_1,java,A.java,81
129296,2014_2_1,java,TheRepeater.java,93
131873,2014_2_1,java,Prob1.java,105
131278,2014_2_1,cpp,main.cpp,100
119165,2014_2_1,cpp,google_code_jam.cpp,139
118489,2014_2_1,cpp,A-large.cpp,374
128920,2014_2_1,py,actuallyA.py,47
118416,2014_2_1,py,A.py,102
121201,2014_2_1,py,strings.py,74
118754,2014_2_1,php,index.php,222
116147,2014_2_1,php,ProblemA.php,44
114208,2014_2_1,php,prog.php,133
135560,2014_3_1,java,ProblemA.java,86
138333,2014_3_1,java,R1CA.java,40
140281,2014_3_1,java,PartElf.java,59
138308,2014_3_1,cpp,new.cpp,79
134611,2014_3_1,cpp,ProblemA.cpp,68
132142,2014_3_1,cpp,main.cpp,106
139209,2014_3_1,py,elf.py,43
139370,2014_3_1,py,A-large.py,58
143074,2014_3_1,py,partelf.py,35
142092,2014_3_1,php,google-code-jam-Part-Elf.php,27
134295,2014_3_1,php,ProblemA.php,35
132975,2014_3_1,php,prog.php,33
47939,2015_0_1,java,StandingOvation.java,44
43660,2015_0_1,java,standing.java,65
100718,2015_0_1,java,StandingOvation.java,32
44230,2015_0_1,cpp,A.cpp,31
64620,2015_0_1,cpp,A.cpp,98
65110,2015_0_1,cpp,main.cpp,39
106809,2015_0_1,py,shy.py,12
86599,2015_0_1,py,standing.py,30
60803,2015_0_1,py,A.py,20
25955,2015_0_1,php,codejam.php,45
28465,2015_0_1,php,RoundOneController.php,118
96593,2015_0_1,php,index.php,70
91000,2015_0_2,java,ProblemB.java,50
21812,2015_0_2,java,Pancakes.java,41
40957,2015_0_2,java,B.java,106
96440,2015_0_2,cpp,B.cpp,67
88257,2015_0_2,cpp,codejam2015_2.cpp,45
38840,2015_0_2,cpp,A.cpp,31
36519,2015_0_2,py,pancakes.py,57
81081,2015_0_2,py,ihop_small.py,157
100159,2015_0_2,py,b2.py,45
103402,2015_0_2,php,code2.php,31
102321,2015_0_2,php,run.php,40
55775,2015_0_2,php,B.php,40
42051,2015_0_3,java,QualificationC.java,139
47513,2015_0_3,java,Main.java,217
96608,2015_0_3,java,dijkstra.java,292
41900,2015_0_3,cpp,codeforc.cpp,132
49764,2015_0_3,cpp,solution.cpp,230
23036,2015_0_3,cpp,Cbig.cpp,95
103585,2015_0_3,py,c.py,66
103774,2015_0_3,py,c.py,78
72742,2015_0_3,py,QualificationProblemC2015.py,205
19800,2015_0_3,php,run.php,122
102323,2015_0_3,php,run.php,122
18309,2015_0_3,php,c.php,207
86262,2015_0_4,java,Omino.java,102
30398,2015_0_4,java,Omino.java,51
29877,2015_0_4,java,Ominous.java,72
63026,2015_0_4,cpp,Source.cpp,55
86932,2015_0_4,cpp,D.cpp,54
60776,2015_0_4,cpp,D.cpp,47
57828,2015_0_4,py,D.py,17
94256,2015_0_4,py,d.py,45
74018,2015_0_4,py,D.py,25
68310,2015_0_4,php,Ominous_omino.php,57
19708,2015_0_4,php,amino.php,153
78114,2015_0_4,php,D.php,67
112276,2015_1_1,java,Main.java,101
118030,2015_1_1,java,MushroomMonster.java,64
112898,2015_1_1,java,P1.java,66
111086,2015_1_1,cpp,a.cpp,156
122263,2015_1_1,cpp,A.cpp,92
111866,2015_1_1,cpp,A.cpp,61
117734,2015_1_1,py,R1A.py,26
124602,2015_1_1,py,1aa.py,14
111647,2015_1_1,py,helpful.py,69
122934,2015_1_1,php,2015_1a_a.php,27
111264,2015_1_1,php,mushroom-small.php,43
121770,2015_1_1,php,A.php,43
76319,2016_0_1,java,sheep.java,71
117099,2016_0_1,java,A.java,31
100898,2016_0_1,java,CountingSheep.java,47
65647,2016_0_1,cpp,gcj1.cpp,43
134225,2016_0_1,cpp,1.cpp,52
143909,2016_0_1,cpp,main.cpp,36
94639,2016_0_1,py,CountingSheep.py,44
88781,2016_0_1,py,solve.py,39
71388,2016_0_1,py,q1.py,19
48618,2016_0_1,php,input.php,27
39027,2016_0_1,php,2016a.php,70
113708,2016_0_1,php,test.php,21
136626,2016_0_4,java,Main.java,47
125922,2016_0_4,java,Fractiles4.java,75
