Loaded 384 pairs from gcj_crosslang_clones/pairs.csv × 5 round(s) = 1920 total (0 already done, 1920 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (16384) > n_ctx_train (8192) -- possible training context overflow
Model 'gguf' loaded. Starting inference...
--- Round 1/5 (0 done, 384 remaining) ---
[1/1920] 2026-07-21 18:26:55 | R1 | 2013_0_1/103399 vs 2013_0_1/99825 → CLONE
[2/1920] 2026-07-21 18:26:56 | R1 | 2013_0_1/99825 vs 2013_0_1/125888 → CLONE
[3/1920] 2026-07-21 18:26:57 | R1 | 2013_0_1/125888 vs 2013_0_1/84842 → CLONE
[4/1920] 2026-07-21 18:26:58 | R1 | 2013_0_1/84842 vs 2013_0_1/103399 → CLONE
[5/1920] 2026-07-21 18:26:59 | R1 | 2013_0_1/49244 vs 2013_0_1/98087 → CLONE
[6/1920] 2026-07-21 18:27:00 | R1 | 2013_0_1/98087 vs 2013_0_1/91336 → CLONE
[7/1920] 2026-07-21 18:27:01 | R1 | 2013_0_1/91336 vs 2013_0_1/102913 → CLONE
[8/1920] 2026-07-21 18:27:02 | R1 | 2013_0_1/102913 vs 2013_0_1/49244 → CLONE
[9/1920] 2026-07-21 18:27:03 | R1 | 2013_0_1/126886 vs 2013_0_1/72071 → CLONE
[10/1920] 2026-07-21 18:27:03 | R1 | 2013_0_1/72071 vs 2013_0_1/70537 → CLONE
[11/1920] 2026-07-21 18:27:04 | R1 | 2013_0_1/70537 vs 2013_0_1/127485 → CLONE
[12/1920] 2026-07-21 18:27:05 | R1 | 2013_0_1/127485 vs 2013_0_1/126886 → CLONE
[13/1920] 2026-07-21 18:27:06 | R1 | 2013_0_2/95524 vs 2013_0_2/83774 → CLONE
[14/1920] 2026-07-21 18:27:07 | R1 | 2013_0_2/83774 vs 2013_0_2/78034 → CLONE
[15/1920] 2026-07-21 18:27:08 | R1 | 2013_0_2/78034 vs 2013_0_2/71957 → CLONE
[16/1920] 2026-07-21 18:27:09 | R1 | 2013_0_2/71957 vs 2013_0_2/95524 → CLONE
[17/1920] 2026-07-21 18:27:09 | R1 | 2013_0_2/44471 vs 2013_0_2/140779 → CLONE
[18/1920] 2026-07-21 18:27:10 | R1 | 2013_0_2/140779 vs 2013_0_2/122219 → CLONE
[19/1920] 2026-07-21 18:27:11 | R1 | 2013_0_2/122219 vs 2013_0_2/96711 → CLONE
[20/1920] 2026-07-21 18:27:12 | R1 | 2013_0_2/96711 vs 2013_0_2/44471 → CLONE
[21/1920] 2026-07-21 18:27:12 | R1 | 2013_0_2/55421 vs 2013_0_2/91409 → CLONE
[22/1920] 2026-07-21 18:27:13 | R1 | 2013_0_2/91409 vs 2013_0_2/85165 → CLONE
[23/1920] 2026-07-21 18:27:14 | R1 | 2013_0_2/85165 vs 2013_0_2/68303 → CLONE
[24/1920] 2026-07-21 18:27:15 | R1 | 2013_0_2/68303 vs 2013_0_2/55421 → CLONE
[25/1920] 2026-07-21 18:27:16 | R1 | 2013_0_3/108834 vs 2013_0_3/102625 → CLONE
[26/1920] 2026-07-21 18:27:17 | R1 | 2013_0_3/102625 vs 2013_0_3/102207 → CLONE
[27/1920] 2026-07-21 18:27:18 | R1 | 2013_0_3/102207 vs 2013_0_3/89287 → CLONE
[28/1920] 2026-07-21 18:27:19 | R1 | 2013_0_3/89287 vs 2013_0_3/108834 → CLONE
[29/1920] 2026-07-21 18:27:20 | R1 | 2013_0_3/59317 vs 2013_0_3/81195 → CLONE
[30/1920] 2026-07-21 18:27:21 | R1 | 2013_0_3/81195 vs 2013_0_3/51164 → CLONE
[31/1920] 2026-07-21 18:27:21 | R1 | 2013_0_3/51164 vs 2013_0_3/92037 → CLONE
[32/1920] 2026-07-21 18:27:22 | R1 | 2013_0_3/92037 vs 2013_0_3/59317 → CLONE
[33/1920] 2026-07-21 18:27:23 | R1 | 2013_0_3/74156 vs 2013_0_3/53348 → CLONE
[34/1920] 2026-07-21 18:27:24 | R1 | 2013_0_3/53348 vs 2013_0_3/70289 → CLONE
[35/1920] 2026-07-21 18:27:25 | R1 | 2013_0_3/70289 vs 2013_0_3/132829 → CLONE
[36/1920] 2026-07-21 18:27:26 | R1 | 2013_0_3/132829 vs 2013_0_3/74156 → CLONE
[37/1920] 2026-07-21 18:27:26 | R1 | 2013_1_1/42047 vs 2013_1_1/28766 → CLONE
[38/1920] 2026-07-21 18:27:27 | R1 | 2013_1_1/28766 vs 2013_1_1/37029 → CLONE
[39/1920] 2026-07-21 18:27:28 | R1 | 2013_1_1/37029 vs 2013_1_1/34507 → CLONE
[40/1920] 2026-07-21 18:27:29 | R1 | 2013_1_1/34507 vs 2013_1_1/42047 → CLONE
[41/1920] 2026-07-21 18:27:29 | R1 | 2013_1_1/30835 vs 2013_1_1/30228 → CLONE
[42/1920] 2026-07-21 18:27:30 | R1 | 2013_1_1/30228 vs 2013_1_1/32497 → CLONE
[43/1920] 2026-07-21 18:27:31 | R1 | 2013_1_1/32497 vs 2013_1_1/39026 → CLONE
