[chain] 2026-07-16 22:28:56 START  gguf :: bartowski/Codestral-22B-v0.1-GGUF::Codestral-22B-v0.1-Q2_K.gguf
Loaded 400 pairs from gcj_java_clones/pairs.csv × 5 round(s) = 2000 total (0 already done, 2000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (16384) < n_ctx_train (32768) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5 (0 done, 400 remaining) ---
[1/2000] 2026-07-16 22:30:43 | R1 | 2013_0_1/84294 vs 2013_0_1/58633 → CLONE
[2/2000] 2026-07-16 22:30:45 | R1 | 2013_0_1/84294 vs 2013_0_1/124149 → CLONE
[3/2000] 2026-07-16 22:30:47 | R1 | 2013_0_1/84294 vs 2013_0_1/88116 → CLONE
[4/2000] 2026-07-16 22:30:49 | R1 | 2013_0_1/84294 vs 2013_0_1/124226 → CLONE
[5/2000] 2026-07-16 22:30:52 | R1 | 2013_0_1/58633 vs 2013_0_1/124149 → CLONE
[6/2000] 2026-07-16 22:30:55 | R1 | 2013_0_1/58633 vs 2013_0_1/88116 → CLONE
[7/2000] 2026-07-16 22:30:57 | R1 | 2013_0_1/58633 vs 2013_0_1/124226 → CLONE
[8/2000] 2026-07-16 22:31:00 | R1 | 2013_0_1/124149 vs 2013_0_1/88116 → CLONE
[9/2000] 2026-07-16 22:31:02 | R1 | 2013_0_1/124149 vs 2013_0_1/124226 → CLONE
[10/2000] 2026-07-16 22:31:05 | R1 | 2013_0_1/88116 vs 2013_0_1/124226 → CLONE
[11/2000] 2026-07-16 22:31:08 | R1 | 2013_0_2/95524 vs 2013_0_2/44471 → CLONE
[12/2000] 2026-07-16 22:31:10 | R1 | 2013_0_2/95524 vs 2013_0_2/55421 → CLONE
[13/2000] 2026-07-16 22:31:12 | R1 | 2013_0_2/95524 vs 2013_0_2/90919 → CLONE
[14/2000] 2026-07-16 22:31:14 | R1 | 2013_0_2/95524 vs 2013_0_2/114653 → CLONE
[15/2000] 2026-07-16 22:31:17 | R1 | 2013_0_2/44471 vs 2013_0_2/55421 → CLONE
[16/2000] 2026-07-16 22:31:19 | R1 | 2013_0_2/44471 vs 2013_0_2/90919 → CLONE
[17/2000] 2026-07-16 22:31:22 | R1 | 2013_0_2/44471 vs 2013_0_2/114653 → CLONE
[18/2000] 2026-07-16 22:31:24 | R1 | 2013_0_2/55421 vs 2013_0_2/90919 → CLONE
[19/2000] 2026-07-16 22:31:27 | R1 | 2013_0_2/55421 vs 2013_0_2/114653 → CLONE
[20/2000] 2026-07-16 22:31:29 | R1 | 2013_0_2/90919 vs 2013_0_2/114653 → CLONE
[21/2000] 2026-07-16 22:31:32 | R1 | 2013_0_3/55548 vs 2013_0_3/94901 → CLONE
[22/2000] 2026-07-16 22:31:35 | R1 | 2013_0_3/55548 vs 2013_0_3/78294 → CLONE
[23/2000] 2026-07-16 22:31:37 | R1 | 2013_0_3/55548 vs 2013_0_3/118052 → CLONE
[24/2000] 2026-07-16 22:31:40 | R1 | 2013_0_3/55548 vs 2013_0_3/83531 → CLONE
[25/2000] 2026-07-16 22:31:43 | R1 | 2013_0_3/94901 vs 2013_0_3/78294 → CLONE
[26/2000] 2026-07-16 22:31:45 | R1 | 2013_0_3/94901 vs 2013_0_3/118052 → CLONE
[27/2000] 2026-07-16 22:31:47 | R1 | 2013_0_3/94901 vs 2013_0_3/83531 → CLONE
[28/2000] 2026-07-16 22:31:50 | R1 | 2013_0_3/78294 vs 2013_0_3/118052 → CLONE
[29/2000] 2026-07-16 22:31:53 | R1 | 2013_0_3/78294 vs 2013_0_3/83531 → CLONE
[30/2000] 2026-07-16 22:31:55 | R1 | 2013_0_3/118052 vs 2013_0_3/83531 → CLONE
[31/2000] 2026-07-16 22:31:58 | R1 | 2013_1_1/35305 vs 2013_1_1/30788 → CLONE
[32/2000] 2026-07-16 22:32:00 | R1 | 2013_1_1/35305 vs 2013_1_1/30610 → CLONE
[33/2000] 2026-07-16 22:32:02 | R1 | 2013_1_1/35305 vs 2013_1_1/30305 → CLONE
[34/2000] 2026-07-16 22:32:04 | R1 | 2013_1_1/35305 vs 2013_1_1/40715 → CLONE
[35/2000] 2026-07-16 22:32:07 | R1 | 2013_1_1/30788 vs 2013_1_1/30610 → CLONE
[36/2000] 2026-07-16 22:32:10 | R1 | 2013_1_1/30788 vs 2013_1_1/30305 → CLONE
[37/2000] 2026-07-16 22:32:11 | R1 | 2013_1_1/30788 vs 2013_1_1/40715 → CLONE
[38/2000] 2026-07-16 22:32:14 | R1 | 2013_1_1/30610 vs 2013_1_1/30305 → CLONE
[39/2000] 2026-07-16 22:32:16 | R1 | 2013_1_1/30610 vs 2013_1_1/40715 → CLONE
[40/2000] 2026-07-16 22:32:19 | R1 | 2013_1_1/30305 vs 2013_1_1/40715 → CLONE
[41/2000] 2026-07-16 22:32:21 | R1 | 2014_0_2/107403 vs 2014_0_2/81302 → CLONE
[42/2000] 2026-07-16 22:32:23 | R1 | 2014_0_2/107403 vs 2014_0_2/27351 → CLONE
[43/2000] 2026-07-16 22:32:24 | R1 | 2014_0_2/107403 vs 2014_0_2/41018 → CLONE
[44/2000] 2026-07-16 22:32:26 | R1 | 2014_0_2/107403 vs 2014_0_2/110678 → CLONE
[45/2000] 2026-07-16 22:32:27 | R1 | 2014_0_2/81302 vs 2014_0_2/27351 → CLONE
[46/2000] 2026-07-16 22:32:29 | R1 | 2014_0_2/81302 vs 2014_0_2/41018 → CLONE
[47/2000] 2026-07-16 22:32:31 | R1 | 2014_0_2/81302 vs 2014_0_2/110678 → CLONE
[48/2000] 2026-07-16 22:32:33 | R1 | 2014_0_2/27351 vs 2014_0_2/41018 → CLONE
[49/2000] 2026-07-16 22:32:34 | R1 | 2014_0_2/27351 vs 2014_0_2/110678 → CLONE
[50/2000] 2026-07-16 22:32:36 | R1 | 2014_0_2/41018 vs 2014_0_2/110678 → CLONE
[51/2000] 2026-07-16 22:32:40 | R1 | 2014_0_3/108079 vs 2014_0_3/27551 → CLONE
[52/2000] 2026-07-16 22:32:44 | R1 | 2014_0_3/108079 vs 2014_0_3/99421 → CLONE
[53/2000] 2026-07-16 22:32:52 | R1 | 2014_0_3/108079 vs 2014_0_3/22792 → CLONE
[54/2000] 2026-07-16 22:32:55 | R1 | 2014_0_3/108079 vs 2014_0_3/71973 → CLONE
[55/2000] 2026-07-16 22:32:59 | R1 | 2014_0_3/27551 vs 2014_0_3/99421 → CLONE
[56/2000] 2026-07-16 22:33:07 | R1 | 2014_0_3/27551 vs 2014_0_3/22792 → CLONE
[57/2000] 2026-07-16 22:33:10 | R1 | 2014_0_3/27551 vs 2014_0_3/71973 → CLONE
[58/2000] 2026-07-16 22:33:20 | R1 | 2014_0_3/99421 vs 2014_0_3/22792 → CLONE
[59/2000] 2026-07-16 22:33:23 | R1 | 2014_0_3/99421 vs 2014_0_3/71973 → CLONE
[60/2000] 2026-07-16 22:33:31 | R1 | 2014_0_3/22792 vs 2014_0_3/71973 → CLONE
[61/2000] 2026-07-16 22:33:34 | R1 | 2014_2_1/124976 vs 2014_2_1/115332 → CLONE
[62/2000] 2026-07-16 22:33:36 | R1 | 2014_2_1/124976 vs 2014_2_1/119554 → CLONE
[63/2000] 2026-07-16 22:33:39 | R1 | 2014_2_1/124976 vs 2014_2_1/126555 → CLONE
[64/2000] 2026-07-16 22:33:42 | R1 | 2014_2_1/124976 vs 2014_2_1/125050 → CLONE
[65/2000] 2026-07-16 22:33:45 | R1 | 2014_2_1/115332 vs 2014_2_1/119554 → CLONE
[66/2000] 2026-07-16 22:33:47 | R1 | 2014_2_1/115332 vs 2014_2_1/126555 → CLONE
[67/2000] 2026-07-16 22:33:49 | R1 | 2014_2_1/115332 vs 2014_2_1/125050 → CLONE
[68/2000] 2026-07-16 22:33:53 | R1 | 2014_2_1/119554 vs 2014_2_1/126555 → CLONE
[69/2000] 2026-07-16 22:33:55 | R1 | 2014_2_1/119554 vs 2014_2_1/125050 → CLONE
[70/2000] 2026-07-16 22:33:58 | R1 | 2014_2_1/126555 vs 2014_2_1/125050 → CLONE
[71/2000] 2026-07-16 22:34:02 | R1 | 2014_3_1/141827 vs 2014_3_1/137264 → CLONE
[72/2000] 2026-07-16 22:34:04 | R1 | 2014_3_1/141827 vs 2014_3_1/138894 → CLONE
[73/2000] 2026-07-16 22:34:06 | R1 | 2014_3_1/141827 vs 2014_3_1/136615 → CLONE
[74/2000] 2026-07-16 22:34:09 | R1 | 2014_3_1/141827 vs 2014_3_1/138529 → CLONE
[75/2000] 2026-07-16 22:34:11 | R1 | 2014_3_1/137264 vs 2014_3_1/138894 → CLONE
[76/2000] 2026-07-16 22:34:13 | R1 | 2014_3_1/137264 vs 2014_3_1/136615 → CLONE
[77/2000] 2026-07-16 22:34:15 | R1 | 2014_3_1/137264 vs 2014_3_1/138529 → CLONE
[78/2000] 2026-07-16 22:34:18 | R1 | 2014_3_1/138894 vs 2014_3_1/136615 → CLONE
[79/2000] 2026-07-16 22:34:20 | R1 | 2014_3_1/138894 vs 2014_3_1/138529 → CLONE
[80/2000] 2026-07-16 22:34:23 | R1 | 2014_3_1/136615 vs 2014_3_1/138529 → CLONE
[81/2000] 2026-07-16 22:34:25 | R1 | 2015_0_1/79967 vs 2015_0_1/35102 → CLONE
[82/2000] 2026-07-16 22:34:26 | R1 | 2015_0_1/79967 vs 2015_0_1/68106 → CLONE
[83/2000] 2026-07-16 22:34:28 | R1 | 2015_0_1/79967 vs 2015_0_1/65869 → CLONE
[84/2000] 2026-07-16 22:34:30 | R1 | 2015_0_1/79967 vs 2015_0_1/46754 → CLONE
[85/2000] 2026-07-16 22:34:31 | R1 | 2015_0_1/35102 vs 2015_0_1/68106 → CLONE
[86/2000] 2026-07-16 22:34:33 | R1 | 2015_0_1/35102 vs 2015_0_1/65869 → CLONE
[87/2000] 2026-07-16 22:34:34 | R1 | 2015_0_1/35102 vs 2015_0_1/46754 → CLONE
[88/2000] 2026-07-16 22:34:36 | R1 | 2015_0_1/68106 vs 2015_0_1/65869 → CLONE
