Loaded 400 pairs from gcj_java_clones/pairs.csv × 5 round(s) = 2000 total (0 already done, 2000 remaining)
GGUF base: QuantFactory/CodeLlama-7b-Instruct-hf-GGUF::CodeLlama-7b-Instruct-hf.Q4_K_M.gguf
LoRA adapter: finetune_models/codellama-7b-aizu-qlora-F16.gguf
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Model 'gguf_lora' loaded. Starting inference...
--- Round 1/5 (0 done, 400 remaining) ---
[1/2000] 2026-07-19 14:25:51 | R1 | 2013_0_1/84294 vs 2013_0_1/58633 → CLONE
[2/2000] 2026-07-19 14:25:51 | R1 | 2013_0_1/84294 vs 2013_0_1/124149 → CLONE
[3/2000] 2026-07-19 14:25:52 | R1 | 2013_0_1/84294 vs 2013_0_1/88116 → CLONE
[4/2000] 2026-07-19 14:25:52 | R1 | 2013_0_1/84294 vs 2013_0_1/124226 → CLONE
[5/2000] 2026-07-19 14:25:53 | R1 | 2013_0_1/58633 vs 2013_0_1/124149 → CLONE
[6/2000] 2026-07-19 14:25:54 | R1 | 2013_0_1/58633 vs 2013_0_1/88116 → CLONE
[7/2000] 2026-07-19 14:25:54 | R1 | 2013_0_1/58633 vs 2013_0_1/124226 → CLONE
[8/2000] 2026-07-19 14:25:55 | R1 | 2013_0_1/124149 vs 2013_0_1/88116 → CLONE
[9/2000] 2026-07-19 14:25:55 | R1 | 2013_0_1/124149 vs 2013_0_1/124226 → CLONE
[10/2000] 2026-07-19 14:25:56 | R1 | 2013_0_1/88116 vs 2013_0_1/124226 → CLONE
[11/2000] 2026-07-19 14:25:57 | R1 | 2013_0_2/95524 vs 2013_0_2/44471 → CLONE
[12/2000] 2026-07-19 14:25:57 | R1 | 2013_0_2/95524 vs 2013_0_2/55421 → CLONE
[13/2000] 2026-07-19 14:25:58 | R1 | 2013_0_2/95524 vs 2013_0_2/90919 → CLONE
[14/2000] 2026-07-19 14:25:58 | R1 | 2013_0_2/95524 vs 2013_0_2/114653 → CLONE
[15/2000] 2026-07-19 14:25:59 | R1 | 2013_0_2/44471 vs 2013_0_2/55421 → CLONE
[16/2000] 2026-07-19 14:25:59 | R1 | 2013_0_2/44471 vs 2013_0_2/90919 → CLONE
[17/2000] 2026-07-19 14:26:00 | R1 | 2013_0_2/44471 vs 2013_0_2/114653 → CLONE
[18/2000] 2026-07-19 14:26:01 | R1 | 2013_0_2/55421 vs 2013_0_2/90919 → CLONE
[19/2000] 2026-07-19 14:26:01 | R1 | 2013_0_2/55421 vs 2013_0_2/114653 → CLONE
[20/2000] 2026-07-19 14:26:02 | R1 | 2013_0_2/90919 vs 2013_0_2/114653 → CLONE
[21/2000] 2026-07-19 14:26:02 | R1 | 2013_0_3/55548 vs 2013_0_3/94901 → CLONE
[22/2000] 2026-07-19 14:26:03 | R1 | 2013_0_3/55548 vs 2013_0_3/78294 → CLONE
[23/2000] 2026-07-19 14:26:04 | R1 | 2013_0_3/55548 vs 2013_0_3/118052 → CLONE
[24/2000] 2026-07-19 14:26:04 | R1 | 2013_0_3/55548 vs 2013_0_3/83531 → CLONE
[25/2000] 2026-07-19 14:26:05 | R1 | 2013_0_3/94901 vs 2013_0_3/78294 → CLONE
[26/2000] 2026-07-19 14:26:05 | R1 | 2013_0_3/94901 vs 2013_0_3/118052 → CLONE
[27/2000] 2026-07-19 14:26:06 | R1 | 2013_0_3/94901 vs 2013_0_3/83531 → CLONE
[28/2000] 2026-07-19 14:26:07 | R1 | 2013_0_3/78294 vs 2013_0_3/118052 → CLONE
[29/2000] 2026-07-19 14:26:07 | R1 | 2013_0_3/78294 vs 2013_0_3/83531 → CLONE
[30/2000] 2026-07-19 14:26:08 | R1 | 2013_0_3/118052 vs 2013_0_3/83531 → CLONE
[31/2000] 2026-07-19 14:26:08 | R1 | 2013_1_1/35305 vs 2013_1_1/30788 → CLONE
[32/2000] 2026-07-19 14:26:09 | R1 | 2013_1_1/35305 vs 2013_1_1/30610 → CLONE
[33/2000] 2026-07-19 14:26:10 | R1 | 2013_1_1/35305 vs 2013_1_1/30305 → CLONE
[34/2000] 2026-07-19 14:26:10 | R1 | 2013_1_1/35305 vs 2013_1_1/40715 → CLONE
[35/2000] 2026-07-19 14:26:11 | R1 | 2013_1_1/30788 vs 2013_1_1/30610 → CLONE
[36/2000] 2026-07-19 14:26:11 | R1 | 2013_1_1/30788 vs 2013_1_1/30305 → CLONE
[37/2000] 2026-07-19 14:26:12 | R1 | 2013_1_1/30788 vs 2013_1_1/40715 → CLONE
[38/2000] 2026-07-19 14:26:12 | R1 | 2013_1_1/30610 vs 2013_1_1/30305 → CLONE
[39/2000] 2026-07-19 14:26:13 | R1 | 2013_1_1/30610 vs 2013_1_1/40715 → CLONE
[40/2000] 2026-07-19 14:26:14 | R1 | 2013_1_1/30305 vs 2013_1_1/40715 → CLONE
[41/2000] 2026-07-19 14:26:14 | R1 | 2014_0_2/107403 vs 2014_0_2/81302 → CLONE
[42/2000] 2026-07-19 14:26:14 | R1 | 2014_0_2/107403 vs 2014_0_2/27351 → CLONE
[43/2000] 2026-07-19 14:26:15 | R1 | 2014_0_2/107403 vs 2014_0_2/41018 → CLONE
[44/2000] 2026-07-19 14:26:15 | R1 | 2014_0_2/107403 vs 2014_0_2/110678 → CLONE
[45/2000] 2026-07-19 14:26:16 | R1 | 2014_0_2/81302 vs 2014_0_2/27351 → CLONE
[46/2000] 2026-07-19 14:26:16 | R1 | 2014_0_2/81302 vs 2014_0_2/41018 → CLONE
[47/2000] 2026-07-19 14:26:16 | R1 | 2014_0_2/81302 vs 2014_0_2/110678 → CLONE
[48/2000] 2026-07-19 14:26:17 | R1 | 2014_0_2/27351 vs 2014_0_2/41018 → CLONE
[49/2000] 2026-07-19 14:26:17 | R1 | 2014_0_2/27351 vs 2014_0_2/110678 → CLONE
[50/2000] 2026-07-19 14:26:18 | R1 | 2014_0_2/41018 vs 2014_0_2/110678 → CLONE
[51/2000] 2026-07-19 14:26:19 | R1 | 2014_0_3/108079 vs 2014_0_3/27551 → CLONE
[52/2000] 2026-07-19 14:26:20 | R1 | 2014_0_3/108079 vs 2014_0_3/99421 → CLONE
[53/2000] 2026-07-19 14:26:22 | R1 | 2014_0_3/108079 vs 2014_0_3/22792 → CLONE
[54/2000] 2026-07-19 14:26:23 | R1 | 2014_0_3/108079 vs 2014_0_3/71973 → CLONE
[55/2000] 2026-07-19 14:26:24 | R1 | 2014_0_3/27551 vs 2014_0_3/99421 → CLONE
[56/2000] 2026-07-19 14:26:27 | R1 | 2014_0_3/27551 vs 2014_0_3/22792 → CLONE
[57/2000] 2026-07-19 14:26:27 | R1 | 2014_0_3/27551 vs 2014_0_3/71973 → CLONE
[58/2000] 2026-07-19 14:26:31 | R1 | 2014_0_3/99421 vs 2014_0_3/22792 → CLONE
