[chain] 2026-07-05 17:39:23 START  codellama :: codellama/CodeLlama-7b-Instruct-hf
Loaded 384 pairs from gcj_crosslang_clones/pairs.csv × 5 round(s) = 1920 total (0 already done, 1920 remaining)
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:06<00:06,  6.12s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:08<00:00,  3.81s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:08<00:00,  4.16s/it]
Model 'codellama' loaded. Starting inference...
--- Round 1/5 (0 done, 384 remaining) ---
[1/1920] 2026-07-05 17:39:55 | R1 | 2013_0_1/103399 vs 2013_0_1/99825 → CLONE
[2/1920] 2026-07-05 17:39:58 | R1 | 2013_0_1/99825 vs 2013_0_1/125888 → CLONE
[3/1920] 2026-07-05 17:40:00 | R1 | 2013_0_1/125888 vs 2013_0_1/84842 → CLONE
[4/1920] 2026-07-05 17:40:02 | R1 | 2013_0_1/84842 vs 2013_0_1/103399 → CLONE
[5/1920] 2026-07-05 17:40:06 | R1 | 2013_0_1/49244 vs 2013_0_1/98087 → CLONE
[6/1920] 2026-07-05 17:40:09 | R1 | 2013_0_1/98087 vs 2013_0_1/91336 → CLONE
[7/1920] 2026-07-05 17:40:11 | R1 | 2013_0_1/91336 vs 2013_0_1/102913 → CLONE
[8/1920] 2026-07-05 17:40:13 | R1 | 2013_0_1/102913 vs 2013_0_1/49244 → CLONE
[9/1920] 2026-07-05 17:40:15 | R1 | 2013_0_1/126886 vs 2013_0_1/72071 → CLONE
[10/1920] 2026-07-05 17:40:18 | R1 | 2013_0_1/72071 vs 2013_0_1/70537 → CLONE
[11/1920] 2026-07-05 17:40:20 | R1 | 2013_0_1/70537 vs 2013_0_1/127485 → CLONE
[12/1920] 2026-07-05 17:40:21 | R1 | 2013_0_1/127485 vs 2013_0_1/126886 → CLONE
[13/1920] 2026-07-05 17:40:24 | R1 | 2013_0_2/95524 vs 2013_0_2/83774 → CLONE
[14/1920] 2026-07-05 17:40:25 | R1 | 2013_0_2/83774 vs 2013_0_2/78034 → CLONE
[15/1920] 2026-07-05 17:40:27 | R1 | 2013_0_2/78034 vs 2013_0_2/71957 → CLONE
[16/1920] 2026-07-05 17:40:29 | R1 | 2013_0_2/71957 vs 2013_0_2/95524 → CLONE
[17/1920] 2026-07-05 17:40:31 | R1 | 2013_0_2/44471 vs 2013_0_2/140779 → CLONE
[18/1920] 2026-07-05 17:40:33 | R1 | 2013_0_2/140779 vs 2013_0_2/122219 → CLONE
[19/1920] 2026-07-05 17:40:35 | R1 | 2013_0_2/122219 vs 2013_0_2/96711 → CLONE
