Loaded 400 pairs from gcj_java_clones/pairs.csv × 5 round(s) = 2000 total (0 already done, 2000 remaining)
`torch_dtype` is deprecated! Use `dtype` instead!
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:  25%|██▌       | 1/4 [04:51<14:34, 291.35s/it]Fetching 4 files:  50%|█████     | 2/4 [04:57<04:06, 123.46s/it]Fetching 4 files: 100%|██████████| 4/4 [04:57<00:00, 74.32s/it] 
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:03<00:09,  3.06s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:05<00:04,  2.47s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:07<00:02,  2.23s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:07<00:00,  1.54s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:07<00:00,  1.89s/it]
Model 'original' loaded. Starting inference...
--- Round 1/5 (0 done, 400 remaining) ---
[1/2000] 2026-07-16 10:05:59 | R1 | 2013_0_1/84294 vs 2013_0_1/58633 → CLONE
[2/2000] 2026-07-16 10:06:01 | R1 | 2013_0_1/84294 vs 2013_0_1/124149 → CLONE
[3/2000] 2026-07-16 10:06:02 | R1 | 2013_0_1/84294 vs 2013_0_1/88116 → CLONE
[4/2000] 2026-07-16 10:06:04 | R1 | 2013_0_1/84294 vs 2013_0_1/124226 → CLONE
[5/2000] 2026-07-16 10:06:05 | R1 | 2013_0_1/58633 vs 2013_0_1/124149 → CLONE
[6/2000] 2026-07-16 10:06:07 | R1 | 2013_0_1/58633 vs 2013_0_1/88116 → CLONE
[7/2000] 2026-07-16 10:06:09 | R1 | 2013_0_1/58633 vs 2013_0_1/124226 → CLONE
[8/2000] 2026-07-16 10:06:10 | R1 | 2013_0_1/124149 vs 2013_0_1/88116 → CLONE
[9/2000] 2026-07-16 10:06:12 | R1 | 2013_0_1/124149 vs 2013_0_1/124226 → CLONE
[10/2000] 2026-07-16 10:06:14 | R1 | 2013_0_1/88116 vs 2013_0_1/124226 → CLONE
[11/2000] 2026-07-16 10:06:15 | R1 | 2013_0_2/95524 vs 2013_0_2/44471 → CLONE
[12/2000] 2026-07-16 10:06:17 | R1 | 2013_0_2/95524 vs 2013_0_2/55421 → CLONE
[13/2000] 2026-07-16 10:06:18 | R1 | 2013_0_2/95524 vs 2013_0_2/90919 → CLONE
[14/2000] 2026-07-16 10:06:20 | R1 | 2013_0_2/95524 vs 2013_0_2/114653 → CLONE
[15/2000] 2026-07-16 10:06:22 | R1 | 2013_0_2/44471 vs 2013_0_2/55421 → CLONE
[16/2000] 2026-07-16 10:06:23 | R1 | 2013_0_2/44471 vs 2013_0_2/90919 → CLONE
[17/2000] 2026-07-16 10:06:25 | R1 | 2013_0_2/44471 vs 2013_0_2/114653 → CLONE
[18/2000] 2026-07-16 10:06:27 | R1 | 2013_0_2/55421 vs 2013_0_2/90919 → CLONE
[19/2000] 2026-07-16 10:06:28 | R1 | 2013_0_2/55421 vs 2013_0_2/114653 → CLONE
[20/2000] 2026-07-16 10:06:30 | R1 | 2013_0_2/90919 vs 2013_0_2/114653 → CLONE
[21/2000] 2026-07-16 10:06:32 | R1 | 2013_0_3/55548 vs 2013_0_3/94901 → CLONE
[22/2000] 2026-07-16 10:06:33 | R1 | 2013_0_3/55548 vs 2013_0_3/78294 → CLONE
[23/2000] 2026-07-16 10:06:35 | R1 | 2013_0_3/55548 vs 2013_0_3/118052 → CLONE
[24/2000] 2026-07-16 10:06:36 | R1 | 2013_0_3/55548 vs 2013_0_3/83531 → CLONE
