Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (16782 already done, 33218 remaining)
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:06<00:06,  6.66s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:09<00:00,  4.25s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:09<00:00,  4.61s/it]
Model 'codellama' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5 (6782 done, 3218 remaining) ---
[16783/50000] 2026-06-30 04:14:28 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[16784/50000] 2026-06-30 04:14:31 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[16785/50000] 2026-06-30 04:14:32 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[16786/50000] 2026-06-30 04:14:33 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[16787/50000] 2026-06-30 04:14:35 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[16788/50000] 2026-06-30 04:14:36 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[16789/50000] 2026-06-30 04:14:37 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[16790/50000] 2026-06-30 04:14:38 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[16791/50000] 2026-06-30 04:14:39 | R2 | queens/test_1_artifice_no_procyon vs square/0_orig → NON-CLONE
[16792/50000] 2026-06-30 04:14:41 | R2 | queens/test_1_artifice_no_procyon vs square/1_artifice → NON-CLONE
[16793/50000] 2026-06-30 04:14:43 | R2 | queens/test_1_artifice_no_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
