Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (0 already done, 50000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5 (0 done, 10000 remaining) ---
[1/50000] 2026-06-30 04:15:47 | R1 | InfixConverter/0_orig vs InfixConverter/0_orig → CLONE
[2/50000] 2026-06-30 04:15:48 | R1 | InfixConverter/0_orig vs InfixConverter/1_artifice → CLONE
[3/50000] 2026-06-30 04:15:49 | R1 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_krakatau → CLONE
[4/50000] 2026-06-30 04:15:50 | R1 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_procyon → CLONE
[5/50000] 2026-06-30 04:15:50 | R1 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[6/50000] 2026-06-30 04:15:51 | R1 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_procyon → CLONE
[7/50000] 2026-06-30 04:15:51 | R1 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[8/50000] 2026-06-30 04:15:52 | R1 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_procyon → CLONE
[9/50000] 2026-06-30 04:15:53 | R1 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[10/50000] 2026-06-30 04:15:54 | R1 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[11/50000] 2026-06-30 04:15:55 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[12/50000] 2026-06-30 04:15:55 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[13/50000] 2026-06-30 04:15:56 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[14/50000] 2026-06-30 04:15:57 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[15/50000] 2026-06-30 04:15:58 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[16/50000] 2026-06-30 04:15:59 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[17/50000] 2026-06-30 04:16:00 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[18/50000] 2026-06-30 04:16:01 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[19/50000] 2026-06-30 04:16:02 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[20/50000] 2026-06-30 04:16:03 | R1 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
