Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (10000 already done, 40000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (16384) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5 (0 done, 10000 remaining) ---
[10001/50000] 2026-06-26 22:03:09 | R2 | InfixConverter/0_orig vs InfixConverter/0_orig → CLONE
[10002/50000] 2026-06-26 22:03:48 | R2 | InfixConverter/0_orig vs InfixConverter/1_artifice → CLONE
[10003/50000] 2026-06-26 22:05:32 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_krakatau → CLONE
[10004/50000] 2026-06-26 22:06:04 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_procyon → CLONE
[10005/50000] 2026-06-26 22:07:28 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[10006/50000] 2026-06-26 22:08:04 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_procyon → CLONE
[10007/50000] 2026-06-26 22:09:54 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[10008/50000] 2026-06-26 22:10:54 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_procyon → CLONE
[10009/50000] 2026-06-26 22:12:30 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[10010/50000] 2026-06-26 22:13:21 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[10011/50000] 2026-06-26 22:14:28 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[10012/50000] 2026-06-26 22:15:56 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[10013/50000] 2026-06-26 22:18:51 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[10014/50000] 2026-06-26 22:20:10 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[10015/50000] 2026-06-26 22:22:20 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[10016/50000] 2026-06-26 22:23:09 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[10017/50000] 2026-06-26 22:25:46 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[10018/50000] 2026-06-26 22:27:11 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[10019/50000] 2026-06-26 22:28:58 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[10020/50000] 2026-06-26 22:30:14 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[10021/50000] 2026-06-26 22:31:12 | R2 | InfixConverter/0_orig vs bubblesort/0_orig → NON-CLONE
[10022/50000] 2026-06-26 22:31:45 | R2 | InfixConverter/0_orig vs bubblesort/1_artifice → NON-CLONE
[10023/50000] 2026-06-26 22:33:02 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[10024/50000] 2026-06-26 22:34:07 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[10025/50000] 2026-06-26 22:35:10 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[10026/50000] 2026-06-26 22:35:37 | R2 | InfixConverter/0_orig vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[10027/50000] 2026-06-26 22:36:40 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[10028/50000] 2026-06-26 22:37:18 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[10029/50000] 2026-06-26 22:38:05 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[10030/50000] 2026-06-26 22:38:39 | R2 | InfixConverter/0_orig vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[10031/50000] 2026-06-26 22:39:42 | R2 | InfixConverter/0_orig vs guessword/0_orig → NON-CLONE
[10032/50000] 2026-06-26 22:41:09 | R2 | InfixConverter/0_orig vs guessword/1_artifice → NON-CLONE
