program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,84294,2013_0_1,58633,CLONE,2026-07-22 09:40:22,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining the state of a 4x4 Tic-Tac-Toe board (specifically from the Google Code Jam 'Tic-Tac-Toe' problem). They both read an integer T for the number of test cases, then process T boards. For each board, they check for winning conditions for player 'X' or 'O' (rows, columns, and diagonals) considering 'T' as a wildcard. They also check if the game is incomplete (presence of '.') or a draw. Although they differ in implementation details (Snippet 1 uses boolean flags and 2D arrays, Snippet 2 uses integer mapping and 1D array multiplication to check products), the logical outcome and functionality are identical. Snippet 2 has some minor structural issues with indentation and redundant checks, but the core logic for determining 'X won', 'O won', 'Draw', or 'Game has not completed' is functionally equivalent to Snippet 1.""
}",0
2013_0_1,84294,2013_0_1,124149,CLONE,2026-07-22 09:40:33,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement the logic to solve the 'Tic-Tac-Toe' problem (specifically Google Code Jam 2013 Round 1C Problem A). They both process T test cases, each consisting of a 4x4 grid. Both snippets handle the special character 'T' (Tie) by treating it as a wildcard that can match either 'X' or 'O' for winning conditions. Both check for winning rows, columns, and diagonals for both players. Both determine the game state: 'X won', 'O won', 'Draw' (if both won or board is full with no winner), or 'Game has not completed' (if there are empty spaces and no winner). Although they differ in I/O methods (Scanner vs BufferedReader/PrintWriter) and internal implementation details (Snippet 1 uses boolean flags updated during input parsing, while Snippet 2 creates separate matrices for X and O scenarios), the functional outcome and logic are identical.""
}",1
2013_0_1,84294,2013_0_1,88116,CLONE,2026-07-22 09:40:46,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets solve the same problem, which is determining the status of a 4x4 Tic-Tac-Toe game (specifically from Google Code Jam 2013 Qualification Round Problem A: Tic-Tac-Toe). \n\n1. **Input Handling**: Both read an integer T for the number of test cases. Snippet 1 uses `Scanner` from standard input, while Snippet 2 uses a custom `BufferedReader` wrapper reading from a file. This is an implementation detail difference, not a functional one regarding the logic.\n2. **Logic**: Both snippets check for winning conditions for player 'X' and player 'O'. A win is defined as having 4 consecutive symbols (including 'T' as a wildcard) in any row, column, or diagonal.\n   - Snippet 1 calculates this by iterating through the grid and maintaining boolean flags for rows, columns, and diagonals, treating 'T' as either 'X' or 'O' during the count/check.\n   - Snippet 2 extracts all rows, columns, and diagonals as strings, adds them to a HashSet, and then checks",2
2013_0_1,84294,2013_0_1,124226,CLONE,2026-07-22 09:40:59,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets implement the logic to solve the 'Tic-Tac-Toe' problem (specifically from Google Code Jam 2013 Round 1A, Problem A). They both read a number of test cases, process a 4x4 grid for each case, and determine the game state based on the positions of 'X', 'O', 'T' (wildcard), and '.' (empty). \n\nSpecifically:\n1. Both check for winning conditions for 'X' and 'O' by examining rows, columns, and both diagonals. A win is defined as having 4 cells in a line that are either the player's mark or 'T'.\n2. Both handle the priority of results: if both 'X' and 'O' have winning lines, it is a 'Draw'. If only one has won, it outputs 'X won' or 'O won'.\n3. If no one has won, both check if the board is full (no '.' characters). If the board is not full, it outputs 'Game has not completed'. If the board is full and no one won, it outputs",3
2013_0_1,58633,2013_0_1,124149,CLONE,2026-07-22 09:41:11,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem: determining the winner of a 4x4 Tic-Tac-Toe game (specifically the Google Code Jam 2013 Round 1C problem 'Tic-Tac-Toe-Tomek'). They both read an input file containing multiple test cases, parse a 4x4 grid where 'X' and 'O' are players and 'T' is a wildcard (treated as both 'X' and 'O' for winning purposes, or mapped to 1 in Snippet 1), and '.' is empty. Both snippets check rows, columns, and diagonals for a win condition (4 in a line). Both handle the output format 'Case #i: X won', 'Case #i: O won', 'Case #i: Draw', or 'Case #i: Game has not completed'. While Snippet 1 uses integer multiplication to check for wins (mapping X=2, O=3, T=1) and Snippet 2 uses boolean flags with explicit character comparisons, the logical outcome and task performed are identical.""
}",4
2013_0_1,58633,2013_0_1,88116,CLONE,2026-07-22 09:41:24,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets implement a solution for the same problem, which is identifying the winner of a 4x4 Tic-Tac-Toe-like game (specifically Google Code Jam 2013 Qualification Round Problem A). \n\n1. **Input/Output**: Both read a number of test cases and process 4x4 grids. Snippet 1 reads from `../input.in` and writes to `../result1.txt`. Snippet 2 reads from `input.txt` and writes to `output.txt`. The file paths differ, but the data processing logic is the target of comparison.\n2. **Game Logic**: \n   - Both check for rows, columns, and diagonals.\n   - Snippet 1 maps characters to integers ('X'=2, 'O'=3, 'T'=1, '.'=0) and checks products. For 'X' to win, the product must be 16 (2*2*2*2) or 8 (2*2*2*1). For 'O' to win, the product must be 81 (3*3*3*",5
2013_0_1,58633,2013_0_1,124226,CLONE,2026-07-22 09:41:36,"{
  ""answer"": ""YES-SIMILAR"",
  ""explanation"": ""Both code snippets solve the same problem, which is determining the state of a 4x4 Tic-Tac-Toe game (specifically from Google Code Jam 2014 Round 1A Problem A). They both read an input containing multiple test cases, each with a 4x4 grid. They check for winning conditions for player 'X' and player 'O' across rows, columns, and diagonals. They handle the 'T' (Tie) character as a wildcard that can substitute for 'X' or 'O' in a winning line (Snippet 1 uses integer multiplication where T=1, X=2, O=3, allowing products like 8 or 16 for X wins and 27 or 81 for O wins; Snippet 2 explicitly checks if cells are 'X' or 'T' for X wins and 'O' or 'T' for O wins). Finally, they determine if the game is a win for X, a win for O, a Draw, or 'Game has not completed' based on the presence of empty cells ('.'). Although the implementation details differ (Snippet",6
2013_0_1,124149,2013_0_1,88116,CLONE,2026-07-22 09:41:49,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets solve the same problem: determining the winner of a Tic-Tac-Toe game on a 4x4 board, likely from the Google Code Jam 2013 Qualification Round (Problem A: Tic-Tac-Toe-Tac-Toe). \n\n1. **Input/Output**: Both read from 'input.txt' and write to 'output.txt'. Both handle multiple test cases specified by an integer T.\n2. **Logic**: \n   - Snippet 1 manually checks rows, columns, and diagonals for four consecutive 'X's or 'O's (treating 'T' as a wildcard that can be either 'X' or 'O'). It also checks for empty cells ('.') to determine if the game is incomplete.\n   - Snippet 2 extracts all rows, columns, and diagonals as strings into a HashSet. It then checks if any of these strings match specific winning patterns for 'X' or 'O' (e.g., \""XXXX\"", \""XXXT\"", etc.), which effectively treats 'T' as a wildcard. It also checks for the presence of '.' to determine if the game is",7
2013_0_1,124149,2013_0_1,124226,CLONE,2026-07-22 09:42:02,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets implement the logic for solving the 'Tic-Tac-Toe' problem from the Google Code Jam 2013 Round 1C. They both read a 4x4 grid representing a game state where 'X' and 'O' are players, 'T' is a tile that can act as either 'X' or 'O', and '.' is an empty space. Both snippets determine the winner by checking rows, columns, and diagonals for four consecutive marks (treating 'T' as a wildcard). They both handle the output cases: 'X won', 'O won', 'Draw' (if the board is full but no one won), and 'Game has not completed' (if the board has empty spaces and no winner). Although Snippet 1 preprocesses the board by replacing 'T' with 'X' and 'O' in separate matrices, and Snippet 2 checks for 'X' or 'T' and 'O' or 'T' directly during the win condition check, the functional outcome and logic are identical. The input/output formats (Case #N: Result) are also consistent.""
}",8
2013_0_1,88116,2013_0_1,124226,CLONE,2026-07-22 09:42:13,"{
""answer"": ""YES-SIMILAR"",
""explanation"": ""Both code snippets solve the same problem, which is determining the status of a 4x4 Tic-Tac-Toe game board (specifically from Google Code Jam 2013 Round 1A Problem A). They both read multiple test cases, each consisting of a 4x4 grid containing 'X', 'O', 'T', and '.'. They both check for winning conditions for 'X' and 'O' by examining rows, columns, and diagonals, treating 'T' as a wildcard that can match either 'X' or 'O'. They both output 'X won' if X has a winning line, 'O won' if O has a winning line, 'Game has not completed' if there are empty cells ('.') and no winner, and 'Draw' otherwise. Although they differ in implementation details (Snippet 1 uses string concatenation and HashSet to check patterns, while Snippet 2 uses direct array indexing and boolean flags), the logic and final output for any given input are identical.""
}",9
