[chain] 2026-07-10 16:04:40 START  original :: Qwen/Qwen2.5-Coder-7B-Instruct
Loaded 400 pairs from gcj_java_clones/pairs.csv × 5 round(s) = 2000 total (2000 already done, 0 remaining)
All rounds already completed. Nothing to do.
[chain] 2026-07-10 16:04:40 OK     original :: Qwen/Qwen2.5-Coder-7B-Instruct
[chain] 2026-07-10 16:04:40 START  qwen :: Qwen/Qwen2.5-Coder-7B-Instruct-GGUF::qwen2.5-coder-7b-instruct-q2_k.gguf
Loaded 400 pairs from gcj_java_clones/pairs.csv × 5 round(s) = 2000 total (52 already done, 1948 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (16384) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5 (52 done, 348 remaining) ---
[53/2000] 2026-07-10 16:04:47 | R1 | 2014_0_3/108079 vs 2014_0_3/22792 → CLONE
[54/2000] 2026-07-10 16:04:48 | R1 | 2014_0_3/108079 vs 2014_0_3/71973 → CLONE
[55/2000] 2026-07-10 16:04:50 | R1 | 2014_0_3/27551 vs 2014_0_3/99421 → CLONE
[56/2000] 2026-07-10 16:04:52 | R1 | 2014_0_3/27551 vs 2014_0_3/22792 → CLONE
[57/2000] 2026-07-10 16:04:52 | R1 | 2014_0_3/27551 vs 2014_0_3/71973 → CLONE
[58/2000] 2026-07-10 16:04:55 | R1 | 2014_0_3/99421 vs 2014_0_3/22792 → CLONE
[59/2000] 2026-07-10 16:04:56 | R1 | 2014_0_3/99421 vs 2014_0_3/71973 → CLONE
[60/2000] 2026-07-10 16:04:57 | R1 | 2014_0_3/22792 vs 2014_0_3/71973 → CLONE
[61/2000] 2026-07-10 16:04:58 | R1 | 2014_2_1/124976 vs 2014_2_1/115332 → CLONE
[62/2000] 2026-07-10 16:04:59 | R1 | 2014_2_1/124976 vs 2014_2_1/119554 → CLONE
[63/2000] 2026-07-10 16:05:00 | R1 | 2014_2_1/124976 vs 2014_2_1/126555 → CLONE
[64/2000] 2026-07-10 16:05:01 | R1 | 2014_2_1/124976 vs 2014_2_1/125050 → CLONE
[65/2000] 2026-07-10 16:05:01 | R1 | 2014_2_1/115332 vs 2014_2_1/119554 → CLONE
[66/2000] 2026-07-10 16:05:02 | R1 | 2014_2_1/115332 vs 2014_2_1/126555 → CLONE
[67/2000] 2026-07-10 16:05:03 | R1 | 2014_2_1/115332 vs 2014_2_1/125050 → CLONE
[68/2000] 2026-07-10 16:05:04 | R1 | 2014_2_1/119554 vs 2014_2_1/126555 → CLONE
[69/2000] 2026-07-10 16:05:04 | R1 | 2014_2_1/119554 vs 2014_2_1/125050 → CLONE
[70/2000] 2026-07-10 16:05:05 | R1 | 2014_2_1/126555 vs 2014_2_1/125050 → CLONE
[71/2000] 2026-07-10 16:05:06 | R1 | 2014_3_1/141827 vs 2014_3_1/137264 → CLONE
[72/2000] 2026-07-10 16:05:07 | R1 | 2014_3_1/141827 vs 2014_3_1/138894 → CLONE
[73/2000] 2026-07-10 16:05:08 | R1 | 2014_3_1/141827 vs 2014_3_1/136615 → CLONE
[74/2000] 2026-07-10 16:05:09 | R1 | 2014_3_1/141827 vs 2014_3_1/138529 → CLONE
[75/2000] 2026-07-10 16:05:09 | R1 | 2014_3_1/137264 vs 2014_3_1/138894 → CLONE
[76/2000] 2026-07-10 16:05:10 | R1 | 2014_3_1/137264 vs 2014_3_1/136615 → CLONE
[77/2000] 2026-07-10 16:05:11 | R1 | 2014_3_1/137264 vs 2014_3_1/138529 → CLONE
[78/2000] 2026-07-10 16:05:12 | R1 | 2014_3_1/138894 vs 2014_3_1/136615 → CLONE
[79/2000] 2026-07-10 16:05:12 | R1 | 2014_3_1/138894 vs 2014_3_1/138529 → CLONE
[80/2000] 2026-07-10 16:05:13 | R1 | 2014_3_1/136615 vs 2014_3_1/138529 → CLONE
[81/2000] 2026-07-10 16:05:14 | R1 | 2015_0_1/79967 vs 2015_0_1/35102 → CLONE
[82/2000] 2026-07-10 16:05:15 | R1 | 2015_0_1/79967 vs 2015_0_1/68106 → CLONE
[83/2000] 2026-07-10 16:05:15 | R1 | 2015_0_1/79967 vs 2015_0_1/65869 → CLONE
[84/2000] 2026-07-10 16:05:16 | R1 | 2015_0_1/79967 vs 2015_0_1/46754 → CLONE
[85/2000] 2026-07-10 16:05:17 | R1 | 2015_0_1/35102 vs 2015_0_1/68106 → CLONE
[86/2000] 2026-07-10 16:05:18 | R1 | 2015_0_1/35102 vs 2015_0_1/65869 → CLONE
[87/2000] 2026-07-10 16:05:18 | R1 | 2015_0_1/35102 vs 2015_0_1/46754 → CLONE
[88/2000] 2026-07-10 16:05:19 | R1 | 2015_0_1/68106 vs 2015_0_1/65869 → CLONE
[89/2000] 2026-07-10 16:05:19 | R1 | 2015_0_1/68106 vs 2015_0_1/46754 → CLONE
[90/2000] 2026-07-10 16:05:20 | R1 | 2015_0_1/65869 vs 2015_0_1/46754 → CLONE
[91/2000] 2026-07-10 16:05:21 | R1 | 2015_0_2/34257 vs 2015_0_2/32722 → CLONE
[92/2000] 2026-07-10 16:05:22 | R1 | 2015_0_2/34257 vs 2015_0_2/77145 → CLONE
[93/2000] 2026-07-10 16:05:22 | R1 | 2015_0_2/34257 vs 2015_0_2/72707 → CLONE
[94/2000] 2026-07-10 16:05:23 | R1 | 2015_0_2/34257 vs 2015_0_2/68668 → CLONE
[95/2000] 2026-07-10 16:05:24 | R1 | 2015_0_2/32722 vs 2015_0_2/77145 → CLONE
[96/2000] 2026-07-10 16:05:24 | R1 | 2015_0_2/32722 vs 2015_0_2/72707 → CLONE
[97/2000] 2026-07-10 16:05:25 | R1 | 2015_0_2/32722 vs 2015_0_2/68668 → CLONE
[98/2000] 2026-07-10 16:05:26 | R1 | 2015_0_2/77145 vs 2015_0_2/72707 → CLONE
[99/2000] 2026-07-10 16:05:26 | R1 | 2015_0_2/77145 vs 2015_0_2/68668 → CLONE
[100/2000] 2026-07-10 16:05:27 | R1 | 2015_0_2/72707 vs 2015_0_2/68668 → CLONE
[101/2000] 2026-07-10 16:05:28 | R1 | 2015_0_3/74464 vs 2015_0_3/88073 → CLONE
[102/2000] 2026-07-10 16:05:29 | R1 | 2015_0_3/74464 vs 2015_0_3/21597 → CLONE
[103/2000] 2026-07-10 16:05:30 | R1 | 2015_0_3/74464 vs 2015_0_3/62582 → CLONE
[104/2000] 2026-07-10 16:05:31 | R1 | 2015_0_3/74464 vs 2015_0_3/107238 → CLONE
[105/2000] 2026-07-10 16:05:32 | R1 | 2015_0_3/88073 vs 2015_0_3/21597 → CLONE
[106/2000] 2026-07-10 16:05:32 | R1 | 2015_0_3/88073 vs 2015_0_3/62582 → CLONE
[107/2000] 2026-07-10 16:05:33 | R1 | 2015_0_3/88073 vs 2015_0_3/107238 → CLONE
[108/2000] 2026-07-10 16:05:34 | R1 | 2015_0_3/21597 vs 2015_0_3/62582 → CLONE
[109/2000] 2026-07-10 16:05:35 | R1 | 2015_0_3/21597 vs 2015_0_3/107238 → CLONE
[110/2000] 2026-07-10 16:05:36 | R1 | 2015_0_3/62582 vs 2015_0_3/107238 → CLONE
[111/2000] 2026-07-10 16:05:37 | R1 | 2015_0_4/107149 vs 2015_0_4/96734 → CLONE
[112/2000] 2026-07-10 16:05:37 | R1 | 2015_0_4/107149 vs 2015_0_4/79014 → CLONE
[113/2000] 2026-07-10 16:05:38 | R1 | 2015_0_4/107149 vs 2015_0_4/21673 → CLONE
[114/2000] 2026-07-10 16:05:39 | R1 | 2015_0_4/107149 vs 2015_0_4/77477 → CLONE
[115/2000] 2026-07-10 16:05:40 | R1 | 2015_0_4/96734 vs 2015_0_4/79014 → CLONE
[116/2000] 2026-07-10 16:05:40 | R1 | 2015_0_4/96734 vs 2015_0_4/21673 → CLONE
[117/2000] 2026-07-10 16:05:41 | R1 | 2015_0_4/96734 vs 2015_0_4/77477 → CLONE
