program_a,variant_a,program_b,variant_b,ground_truth,timestamp,response,pair_id
2013_0_1,103399,2013_0_1,99825,CLONE,2026-07-18 07:54:31,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",0
2013_0_1,99825,2013_0_1,125888,CLONE,2026-07-18 07:54:32,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",1
2013_0_1,125888,2013_0_1,84842,CLONE,2026-07-18 07:54:32,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",2
2013_0_1,84842,2013_0_1,103399,CLONE,2026-07-18 07:54:33,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",3
2013_0_1,49244,2013_0_1,98087,CLONE,2026-07-18 07:54:33,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",4
2013_0_1,98087,2013_0_1,91336,CLONE,2026-07-18 07:54:34,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",5
2013_0_1,91336,2013_0_1,102913,CLONE,2026-07-18 07:54:34,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",6
2013_0_1,102913,2013_0_1,49244,CLONE,2026-07-18 07:54:35,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",7
2013_0_1,126886,2013_0_1,72071,CLONE,2026-07-18 07:54:36,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",8
2013_0_1,72071,2013_0_1,70537,CLONE,2026-07-18 07:54:36,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",9
2013_0_1,70537,2013_0_1,127485,CLONE,2026-07-18 07:54:37,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",10
2013_0_1,127485,2013_0_1,126886,CLONE,2026-07-18 07:54:37,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",11
2013_0_2,95524,2013_0_2,83774,CLONE,2026-07-18 07:54:38,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",12
2013_0_2,83774,2013_0_2,78034,CLONE,2026-07-18 07:54:38,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",13
2013_0_2,78034,2013_0_2,71957,CLONE,2026-07-18 07:54:38,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",14
2013_0_2,71957,2013_0_2,95524,CLONE,2026-07-18 07:54:39,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",15
2013_0_2,44471,2013_0_2,140779,CLONE,2026-07-18 07:54:39,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",16
2013_0_2,140779,2013_0_2,122219,CLONE,2026-07-18 07:54:40,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",17
2013_0_2,122219,2013_0_2,96711,CLONE,2026-07-18 07:54:40,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",18
2013_0_2,96711,2013_0_2,44471,CLONE,2026-07-18 07:54:40,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",19
2013_0_2,55421,2013_0_2,91409,CLONE,2026-07-18 07:54:41,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",20
2013_0_2,91409,2013_0_2,85165,CLONE,2026-07-18 07:54:41,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",21
2013_0_2,85165,2013_0_2,68303,CLONE,2026-07-18 07:54:42,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",22
2013_0_2,68303,2013_0_2,55421,CLONE,2026-07-18 07:54:42,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",23
2013_0_3,108834,2013_0_3,102625,CLONE,2026-07-18 07:54:43,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",24
2013_0_3,102625,2013_0_3,102207,CLONE,2026-07-18 07:54:44,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",25
2013_0_3,102207,2013_0_3,89287,CLONE,2026-07-18 07:54:44,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",26
2013_0_3,89287,2013_0_3,108834,CLONE,2026-07-18 07:54:45,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",27
2013_0_3,59317,2013_0_3,81195,CLONE,2026-07-18 07:54:46,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",28
2013_0_3,81195,2013_0_3,51164,CLONE,2026-07-18 07:54:46,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",29
2013_0_3,51164,2013_0_3,92037,CLONE,2026-07-18 07:54:46,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",30
2013_0_3,92037,2013_0_3,59317,CLONE,2026-07-18 07:54:47,"{""answer"": ""YES-SIMILAR"", ""explanation"": ""The two snippets implement the same task and produce the same result.""}",31
